year,source,rit_mean,rit_ci,sit_mean,sit_ci,herfindahl_mean,herfindahl_ci,cit_mean,cit_ci
1990,news,0.6220491803278688,0.005545299899998122,354.4,7.165133801960715,0.06588747152826983,0.004925308486530584,,
1991,news,0.650836320191159,0.002451802121809378,303.5,2.239037293123989,0.031964798681569054,0.001598831240308102,0.5087543436730974,0.006165394744237068
1992,news,0.6111943404078236,0.005083320609639319,350.8,4.229242201624305,0.058496559558858574,0.004727597401013431,0.6512701523597053,0.0036774637313510975
1993,news,0.6201962387571547,0.003520288631849379,392.2,2.1254932603986303,0.06334936915605632,0.001896993412567106,0.5275590567834596,0.006713311403617005
1994,news,0.601508864579404,0.0034428336805311264,379.2,4.3012958047546554,0.07885928495676106,0.002781845057398882,0.5323741970967764,0.0038601342484070474
1995,news,0.6070517629407352,0.007137116429750466,388.9,3.1779814977434966,0.07140644519628637,0.0022317571040262225,0.5207416162128794,0.004693121215106724
1996,news,0.6315078769692423,0.0015428353514518494,437.5,3.5307211727917567,0.056584598597858374,0.0009436934250225273,0.5330827511545354,0.00484543903149155
1997,news,0.6349570200573066,0.0018831557243464772,443.3,2.894568983458504,0.061404239829365784,0.0018450374076613933,0.547319481871443,0.00484908561013611
1998,news,0.546842344388914,0.0019679943915863803,637.4,7.313715772437427,0.1223423861994601,0.002526938711957241,0.5942195314044092,0.0022608473122739127
1999,news,0.5448371893744646,0.002168020784613599,668.3,6.9243779215175705,0.11909821640736426,0.001330355678930322,0.4894159869458436,0.004874314602909643
2000,news,0.5515846538782319,0.002089598820036606,716.4,11.004662575472272,0.11428840351729666,0.002963560850638674,0.48999981075907356,0.0041133357512363015
2001,news,0.5416224251433426,0.003930730686770729,721.1,9.29068944696786,0.11587657942848102,0.0019840759832038955,0.471289063174998,0.004675249890278284
2002,news,0.54803982576229,0.0022032486845773233,711.3,8.480483099446634,0.1257707423397982,0.003070656720023067,0.48849857489413084,0.0041242387756101045
2003,news,0.5496536267318664,0.002626635407791581,710.4,9.38428678163663,0.1133826057829251,0.0032943336885031065,0.48501737924226457,0.004506919889866354
2004,news,0.5442761265580057,0.001883849268945103,788.9,6.597081657824162,0.13141403628225515,0.0012692332256350736,0.4901561799479084,0.004744260811391057
2005,news,0.5511771300448431,0.0016183780120740292,782.1,10.439461212150748,0.11858994921289337,0.0016739155813876613,0.4884681344025581,0.0038866919226249862
2006,news,0.5523880044427989,0.00232889602445963,823.4,8.56679207171506,0.11514042665312703,0.0032471681430275958,0.47396672567353865,0.0024039499631512465
2007,news,0.555727051177904,0.002911335040213776,855.7,15.225176044959218,0.155160349851101,0.004676550964416588,0.50867426421849,0.0033545760476367892
2008,news,0.555828125,0.002048466852383149,830.0,18.52174073892624,0.15734601745288765,0.002935053137924258,0.4585203382826986,0.003642437124732989
2009,news,0.554062398440039,0.002431431713116027,762.0,18.294266642858357,0.15706362665416734,0.004441204666152448,0.4365060642375032,0.00278849640214593
2010,news,0.5637266864214746,0.0029797173862486483,712.8,19.101303662315825,0.12403068603285461,0.0023108865302229778,0.4463071228119924,0.004108873508511416
2011,news,0.5619661136604306,0.0022130695775694664,763.3,14.880647351509946,0.11493643845415262,0.003367413731590637,0.4487383218285217,0.003837481966089287
2012,news,0.5576712328767123,0.00425208941607851,780.8,26.342574999418712,0.12107904880782794,0.00558243121269107,0.4635052076852217,0.003986829637553437
2013,news,0.5441225165562914,0.0034596527548778765,790.4,21.42271930451407,0.12409885341990749,0.005205593902597019,0.46428061258137765,0.00520006864381117
2014,news,0.5484998351467194,0.002343311499271841,804.7,16.670488463149482,0.12324231327572192,0.0033892423147374815,0.4661402819918445,0.0049512380176107195
2015,news,0.5417175887696118,0.00337593823049962,843.3,19.013111307726568,0.1331064906509615,0.005645181334263372,0.45880328661539593,0.0034256229141768
2016,news,0.5329510229386236,0.002894452118870077,848.6,25.91532130613086,0.14107221285447163,0.007008246513882249,0.4743651733321923,0.003972798192820838
2017,news,0.5285050948020121,0.0035786472506609403,1052.7,44.881047064434675,0.15740176019583213,0.005871515222637046,0.5217812040887676,0.0034859460533432094
2018,news,0.5276363636363637,0.0013496486105114551,1050.1,8.14025542596791,0.18267159109224387,0.001849166321198271,0.46186322061610313,0.00516100382249827
2019,news,0.5237173885906878,0.0034319682748085957,1069.4,21.45855406125958,0.1741086068266365,0.0037691465375378195,0.4942779891118382,0.002320255565088443
2020,news,0.5235192563081009,0.0029537025414386182,1055.8,12.460421565902173,0.1803244787943176,0.0023630640665917337,0.45672535867903896,0.0037256163048439697
2021,news,0.5253483835005573,0.0032603506480936373,947.3,31.36985970003691,0.1863201820913803,0.006203187707249719,0.44969836441453576,0.002750881448926138
2022,news,0.5302810009786103,0.001594192522449067,867.0,53.97442861207517,0.18073544708190284,0.007563052932061047,0.4406796226806368,0.006381032815013339
2023,news,0.5114930863884308,0.003823255179922528,935.8,39.7776676239319,0.20441977733361094,0.008186260401418313,0.45479813982119105,0.005604081938879793
