subject,bases,num_bases
accounting firms,account|firm,2
accounting information system,account|inform|system,3
accounting interpretations,account|interpret,2
accounting irregularities,account|irregular,2
accounting method,account|method,2
accounting periods,account|period,2
accounting policies,account|polici,2
accounting principles board opinions,account|board|opinion|principl,4
accounting procedures,account|procedur,2
accounting records,account|record,2
accounting research,account|research,2
accounting standards,account|standard,2
accounting systems,account|system,2
accounting theory,account|theori,2
accounts payable,account|payabl,2
accounts receivable,account|receiv,2
accreditation,accredit,1
accredited investor,accredit|investor,2
accretion (finance),accret|financ,2
accretion disc,accret|disc,2
accretion disks,accret|disk,2
accrual basis accounting,account|accrual|basi,3
accruals,accrual,1
accrued liabilities,accru|liabil,2
acculturation,accultur,1
accumulated depreciation,accumul|depreci,2
accumulator (cryptography),accumul|cryptographi,2
accuracy,accuraci,1
accuracy and precision,accuraci|precis,2
aceclofenac,aceclofenac,1
acentric factor,acentr|factor,2
acer pseudoplatanus,acer|pseudoplatanu,2
acetabulum,acetabulum,1
acetal,acet,1
acetamide,acetamid,1
acetaminophen,acetaminophen,1
acetanilide,acetanilid,1
acetazolamide,acetazolamid,1
acetic acid,acet|acid,2
acetone,aceton,1
acetonitrile,acetonitril,1
acetylacetone,acetylaceton,1
acetylcholine,acetylcholin,1
acetylene,acetylen,1
acetylenedicarboxylate,acetylenedicarboxyl,1
acetylide,acetylid,1
achene,achen,1
achievement orientation,achiev|orient,2
achievement tests,achiev|test,2
achillea,achillea,1
achillea millefolium,achillea|millefolium,2
achondroplasia,achondroplasia,1
achromatic lens,achromat|len,2
acid etching,acid|etch,2
acid gas,acid,1
acid mine drainage,acid|drainag,2
acid rain,acid|rain,2
acid value,acid|valu,2
acidification,acidif,1
acidosis,acidosi,1
acids,acid,1
acid–base homeostasis,acid|base|homeostasi,3
acid–base imbalance,acid|base|imbal,3
acid–base reaction,acid|base|reaction,3
acinonyx jubatus,acinonyx|jubatu,2
acis,aci,1
acknowledgement,acknowledg,1
acne,acn,1
aconitine,aconitin,1
acorn,acorn,1
acoustic emission,acoust|emiss,2
acoustic emission testing,acoust|emiss|test,3
acoustic music,acoust|music,2
acoustic neurinoma,acoust|neurinoma,2
acoustic neuroma,acoust|neuroma,2
acoustic sensor,acoust|sensor,2
acoustic theory,acoust|theori,2
acoustic wave,acoust|wave,2
acoustical engineering,acoust|engin,2
acoustics,acoust,1
acquired immune deficiency syndrome,acquir|defici|immun|syndrom,4
acquired immune deficiency syndrome (aids),acquir|aid|defici|immun|syndrom,5
acquired immune deficiency syndrome--aids,acquir|aid|defici|immun|syndrom,5
acquisitions & mergers,acquisit|merger,2
acquisitions &amp; mergers,acquisit|amp|merger,3
"acquisitions, mergers & takeovers",acquisit|merger|takeov,3
acquittal,acquitt,1
acquittals & mistrials,acquitt|mistrial,2
acre,acr,1
acremonium,acremonium,1
acridine,acridin,1
acridine derivatives,acridin|deriv,2
acridone,acridon,1
acriflavine,acriflavin,1
acritarch,acritarch,1
acrobats & acrobatics,acrobat,1
acromioclavicular joint,acromioclavicular|joint,2
acronym,acronym,1
acropolis,acropoli,1
acrylics,acryl,1
acrylonitrile butadiene styrene,acrylonitril|butadien|styren,3
act assessment,act|assess,2
actin,actin,1
acting,act,1
acting out,act,1
actinide,actinid,1
actinidia,actinidia,1
actinidia chinensis,actinidia|chinensi,2
actinidia deliciosa,actinidia|deliciosa,2
actinomycosis,actinomycosi,1
action & adventure,action|adventur,2
action & adventure films,action|adventur|film,3
action (physics),action|physic,2
action learning,action|learn,2
action plan,action|plan,2
action research,action|research,2
action spectrum,action|spectrum,2
action theory (sociology),action|sociolog|theori,3
activated carbon,activ|carbon,2
activation,activ,1
activation energy,activ|energi,2
active carbon,activ|carbon,2
active compound,activ|compound,2
active database,activ|databas,2
active galaxies,activ|galaxi,2
active ingredient,activ|ingredi,2
active learning,activ|learn,2
active learning (machine learning),activ|learn|machin,3
active listening,activ|listen,2
active matter,activ|matter,2
active monitoring,activ|monitor,2
active networking,activ|network,2
active oxygen,activ|oxygen,2
active principle,activ|principl,2
active safety,activ|safeti,2
active vision,activ|vision,2
activism,activ,1
activists,activist,1
activities of daily living,activ|daili|live,3
activity based costing,activ|base|cost,3
activity based management,activ|base|manag,3
activity detection,activ|detect,2
activity recognition,activ|recognit,2
activity theory,activ|theori,2
activity-based costing,activ|base|cost,3
actors,actor,1
actor–network theory,actor|network|theori,3
actuarial science,actuari|scienc,2
actuaries,actuari,1
actuary,actuari,1
actuator,actuat,1
actuators,actuat,1
acuity,acuiti,1
acupressure,acupressur,1
acupuncture,acupunctur,1
acute abdomen,abdomen|acut,2
acute angle,acut|angl,2
acute appendicitis,acut|append,2
acute coronary syndromes,acut|coronari|syndrom,3
acute exposure,acut|exposur,2
acute gastroenteritis,acut|gastroenter,2
acute generalized exanthematous pustulosis,acut|exanthemat|gener|pustulosi,4
acute illness,acut|ill,2
acute injury,acut|injuri,2
acute kidney failure,acut|failur|kidney,3
acute kidney injury,acut|injuri|kidney,3
acute medicine,acut|medicin,2
acute pain,acut|pain,2
acute pancreatitis,acut|pancreat,2
ad media,medium,1
ad valorem taxes,taxi|valorem,2
adam and eve,adam|eve,2
adam smith,adam|smith,2
adamantane,adamantan,1
adansonia digitata,adansonia|digitata,2
adaptability,adapt,1
adaptation,adapt,1
adaptation (eye),adapt|eye,2
adaptations,adapt,1
adapter (computing),adapt|comput,2
adapters,adapt,1
adaptive algorithm,adapt|algorithm,2
adaptive algorithms,adapt|algorithm,2
adaptive behavior,adapt|behavior,2
adaptive behaviour,adapt|behaviour,2
adaptive control,adapt|control,2
adaptive filter,adapt|filter,2
adaptive functioning,adapt|function,2
adaptive immunity,adapt|immun,2
adaptive learning,adapt|learn,2
adaptive management,adapt|manag,2
adaptive mesh refinement,adapt|mesh|refin,3
adaptive optics,adapt|optic,2
adaptive optimization,adapt|optim,2
adaptive response,adapt|respons,2
adaptive reuse,adapt|reus,2
adaptive strategies,adapt|strategi,2
adaptive system,adapt|system,2
adaptive systems,adapt|system,2
adaptive technology,adapt|technolog,2
adaptive use,adapt|use,2
adaptive value,adapt|valu,2
added value,add|valu,2
addendum,addendum,1
addiction,addict,1
addictions,addict,1
addictive behaviors,addict|behavior,2
addition & subtraction,addit|subtract,2
addition theorem,addit|theorem,2
additionality,addition,1
additive function,addit|function,2
additive manufacturing,addit|manufactur,2
additive model,addit|model,2
additives,addit,1
address space,address|space,2
adduct,adduct,1
adductor muscles,adductor|muscl,2
adenitis,aden,1
adenoid,adenoid,1
adenoma,adenoma,1
adenosine,adenosin,1
adenosine triphosphate,adenosin|triphosph,2
adenoviruses,adenoviru,1
adequacy,adequaci,1
adhesion,adhes,1
adhesive bonding,adhes|bond,2
adhesives,adhes,1
adiabatic process,adiabat|process,2
adipate,adip,1
adipic acid,acid|adip,2
adipocytes,adipocyt,1
adipose tissue,adipos|tissu,2
adjacency list,adjac|list,2
adjudication,adjud,1
adjunct,adjunct,1
adjunction,adjunct,1
