subject,bases,num_bases
collage,collag,1
collagen,collagen,1
collagen disease,collagen|diseas,2
collagen fiber,collagen|fiber,2
collagen fibres,collagen|fibr,2
collagen fibril,collagen|fibril,2
collapse,collaps,1
collapsible corporations,collaps|corpor,2
collar,collar,1
collars,collar,1
collateral,collater,1
collateral circulation,circul|collater,2
collateral damage,collater|damag,2
collateralized debt obligations,collater|debt|oblig,3
collateralized loan obligations,collater|loan|oblig,3
collateralized mortgage obligations,collater|mortgag|oblig,3
collation,collat,1
collectable,collect,1
collectibles,collect,1
collection analysis,analysi|collect,2
collection development,collect|develop,2
collection development policies,collect|develop|polici,3
collection management,collect|manag,2
collection services,collect|servic,2
collections,collect,1
collections management,collect|manag,2
collective action,action|collect,2
collective bargaining,bargain|collect,2
collective behavior,behavior|collect,2
collective efficacy,collect|efficaci,2
collective intelligence,collect|intellig,2
collective memory,collect|memori,2
collective motion,collect|motion,2
collective responsibility,collect|respons,2
collective unconscious,collect|unconsci,2
collectivism,collectiv,1
collectors,collector,1
collectors & collections,collect|collector,2
college administration,administr|colleg,2
college admissions,admiss|colleg,2
college athletics,athlet|colleg,2
college baseball,basebal|colleg,2
college baseball -- kennesaw state university,basebal|colleg|kennesaw|state|univers,5
college basketball,basketbal|colleg,2
college basketball -- george mason university,basketbal|colleg|georg|mason|univers,5
college basketball -- santa clara university-california,basketbal|california|clara|colleg|santa|univers,6
college basketball -- university of california-los angeles,angel|basketbal|california|colleg|univers,5
college basketball -- university of tennessee,basketbal|colleg|tennesse|univers,4
college basketball -- university of wisconsin-madison,basketbal|colleg|madison|univers|wisconsin,5
college campuses,campu|colleg,2
college choice,choic|colleg,2
college education,colleg|educ,2
college english,colleg|english,2
college facilities,colleg|facil,2
college faculty,colleg|faculti,2
college football,colleg|footbal,2
college football -- florida a & m university,colleg|florida|footbal|univers,4
college football -- georgia institute of technology,colleg|footbal|georgia|institut|technolog,5
college football -- louisiana state university,colleg|footbal|louisiana|state|univers,5
college football -- stanford university,colleg|footbal|stanford|univers,4
college football -- university of maryland,colleg|footbal|maryland|univers,4
college graduates,colleg|graduat,2
college health,colleg|health,2
college hockey,colleg|hockey,2
college presidents,colleg|presid,2
college professors,colleg|professor,2
college sports,colleg|sport,2
college students,colleg|student,2
college-bound students,bind|colleg|student,3
colleges & universities,colleg|univers,2
colleges &amp; universities,amp|colleg|univers,3
colleges and universities,colleg|univers,2
collegiality,collegi,1
colletotrichum,colletotrichum,1
colletotrichum gloeosporioides,colletotrichum|gloeosporioid,2
collider,collid,1
collimator,collim,1
collinearity,collinear,1
collision,collis,1
collision avoidance,avoid|collis,2
collision avoidance systems,avoid|collis|system,3
collisions,collis,1
collocation (remote sensing),colloc|remot|sens,3
colloid,colloid,1
colloquialism,colloqui,1
collusion,collus,1
coloboma,coloboma,1
colocalization,coloc,1
colocasia esculenta,colocasia|esculenta,2
colon,colon,1
colonialism,coloni,1
colonic diseases,colon|diseas,2
colonic pseudo-obstruction,colon|obstruct|pseudo,3
colonies & territories,coloni|territori,2
colonization,colon,1
colonoscopy,colonoscopi,1
colophon,colophon,1
color,color,1
color analysis,analysi|color,2
color blindness,blind|color,2
color coding,code|color,2
color contrast,color|contrast,2
color index,color|index,2
color measurement,color|measur,2
color temperature,color|temperatur,2
color term,color|term,2
color vision,color|vision,2
color-coding,cod|color,2
colorado plateau,colorado|plateau,2
colorectal cancer,cancer|colorect,2
colorectal surgery,colorect|surgeri,2
colored,color,1
colorimeter,colorimet,1
colorimetric analysis,analysi|colorimetr,2
colorimetry,colorimetri,1
colorization,color,1
colossus computer,colossu|comput,2
colostomy,colostomi,1
colour difference,colour|differ,2
colour vision,colour|vision,2
colubridae,colubrida,1
columbia (space shuttle),columbia|shuttl|space,3
columbia university,columbia|univers,2
column chromatography,chromatographi|column,2
column generation,column|gener,2
coma,coma,1
coma (optics),coma|optic,2
combat aircraft,aircraft|combat,2
combat readiness,combat|readi,2
combat sports,combat|sport,2
combat stress reaction,combat|reaction|stress,3
combatant,combat,1
combination therapy,combin|therapi,2
combinatorial algorithms,algorithm|combinatori,2
combinatorial analysis,analysi|combinatori,2
combinatorial design,combinatori|design,2
combinatorial explosion,combinatori|explos,2
combinatorial method,combinatori|method,2
combinatorial optimization,combinatori|optim,2
combinatorial proof,combinatori|proof,2
combinatorial synthesis,combinatori|synthesi,2
combinatorics,combinator,1
combinatory logic,combinatori|logic,2
combine harvester,combin|harvest,2
combined ratio,combin|ratio,2
combined spinal epidural,combin|epidur|spinal,3
combing,comb,1
combretaceae,combretacea,1
combustion,combust,1
comdex (computer trade show),comdex|comput|trade,3
comebacks,comeback,1
comedians,comedian,1
comedies,comedi,1
comedy,comedi,1
comet,comet,1
comets,comet,1
comfort,comfort,1
comfort women,comfort|woman,2
comic books,book|comic,2
comic books and strips,book|comic|strip,3
comics,comic_strip,1
coming out,come,1
command and control,command|control,2
commands,command,1
commelinaceae,commelinacea,1
commensurability (mathematics),commensur|mathemat,2
commercenet (electronic information network),commercenet|electron|inform|network,4
commercial aircraft,aircraft|commerci,2
commercial area,area|commerci,2
commercial art,art|commerci,2
commercial bank,bank|commerci,2
commercial banking,bank|commerci,2
commercial banks,bank|commerci,2
commercial credit,commerci|credit,2
commercial credit services,commerci|credit|servic,3
commercial fishing,commerci|fish,2
commercial law,commerci|law,2
commercial lending officers,commerci|lend|offic,3
commercial loan officers,commerci|loan|offic,3
commercial markets,commerci|market,2
commercial mortgages,commerci|mortgag,2
commercial paper,commerci|paper,2
commercial policy,commerci|polici,2
commercial real estate,commerci|estat|real,3
commercial real estate loans,commerci|estat|loan|real,4
commercial space,commerci|space,2
commercial space industry,commerci|industri|space,3
commercial space ventures,commerci|space|ventur,3
commercial spacecraft,commerci|spacecraft,2
commercial speech,commerci|speech,2
commercial vehicle,commerci|vehicl,2
commercial vehicles,commerci|vehicl,2
commercialism,commerci,1
commercialization,commerci,1
commercials,commerci,1
commingled funds,commingl|fund,2
comminution,comminut,1
commission,commiss,1
commissioned works,commiss|work,2
commissioners,commission,1
commissions,commiss,1
commissure,commissur,1
commit,commit,1
committee on space research,committe|research|space,3
committees,committe,1
commodification,commodif,1
commodities,commod,1
commodities regulations,commod|regul,2
commodities trading,commod|trade,2
commoditization,commodit,1
commodity,commod,1
commodity futures,commod|futur,2
commodity market,commod|market,2
commodity markets,commod|market,2
commodity options,commod|option,2
commodity prices,commod|price,2
common agricultural policy,agricultur|common|polici,3
common bile duct,bile|common|duct,3
common carriers,carrier|common,2
common cause and special cause,caus|common|special,3
common cold,cold|common,2
common criteria,common|criterion,2
common duct,common|duct,2
common emitter,common|emitt,2
common foreign and security policy,common|foreign|polici|secur,4
common ground,common|ground,2
common law,common|law,2
common markets,common|market,2
common name,common,1
common object request broker architecture,architectur|broker|common|object|request,5
common ownership,common|ownership,2
common peroneal nerve,common|nerv|peron,3
common security and defence policy,common|defenc|polici|secur,4
common sense,common|sens,2
common spatial pattern,common|pattern|spatial,3
common stock,common|stock,2
common value auction,auction|common|valu,3
common-method variance,common|method|varianc,3
common-pool resource,common|pool|resourc,3
commoner,common,1
commons,common,1
commonsense reasoning,commonsens|reason,2
commonwealth,commonwealth,1
communication,commun,1
communication channels,channel|commun,2
communication complexity,commun|complex,2
communication design,commun|design,2
communication in small groups,commun|group|small,3
communication link,commun|link,2
communication noise,commun|nois,2
communication research,commun|research,2
communication satellites,commun|satellit,2
communication sciences,commun|scienc,2
communication skills,commun|skill,2
communication source,commun|sourc,2
communication studies,commun|studi,2
communication theory,commun|theori,2
communications,commun,1
communications act 1934-us,act|commun,2
communications and telecommunications,commun|telecommun,2
communications equipment,commun|equip,2
communications industry,commun|industri,2
communications law,commun|law,2
communications management,commun|manag,2
communications networks,commun|network,2
communications processors,commun|processor,2
communications protocol,commun|protocol,2
communications satellites,commun|satellit,2
communications system,commun|system,2
communications systems,commun|system,2
communications technology,commun|technolog,2
communicative action,action|commun,2
communicative competence,commun|compet,2
communion,communion,1
communism,commun,1
communitarianism,communitarian,1
communities,commun,1
communities & neighborhoods,commun|neighborhood,2
communities of practice,commun|practic,2
community,commun,1
community action,action|commun,2
community banks,bank|commun,2
community building,build|commun,2
community centers,center|commun,2
community cohesion,cohes|commun,2
community college,colleg|commun,2
community college education,colleg|commun|educ,3
community colleges,colleg|commun,2
community design,commun|design,2
community development,commun|develop,2
community development banks,bank|commun|develop,3
community development block grants,block|commun|develop|grant,4
community development corporations,commun|corpor|develop,3
community economic development,commun|develop|econom,3
community education,commun|educ,2
community engagement,commun|engag,2
community health care,care|commun|health,3
community health center,center|commun|health,3
community hospital,commun|hospit,2
community integration,commun|integr,2
community involvement,commun|involv,2
community management,commun|manag,2
community mobilization,commun|mobil,2
community network,commun|network,2
community nursing,commun|nurs,2
community of practice,commun|practic,2
community organization,commun|organ,2
community organizations,commun|organ,2
community organizing,commun|organ,2
community participation,commun|particip,2
community planning,commun|plan,2
community policing,commun|polic,2
community project,commun|project,2
community property,commun|properti,2
community psychology,commun|psycholog,2
community radio,commun|radio,2
community reinvestment act 1977-us,act|commun|reinvest,3
community relations,commun|relat,2
community service,commun|servic,2
community standards,commun|standard,2
community structure,commun|structur,2
community studies,commun|studi,2
community support,commun|support,2
community theater,commun|theater,2
community-based conservation,base|commun|conserv,3
community-based management,base|commun|manag,3
commutative algebra,algebra|commut,2
commutative property,commut|properti,2
commuting,commut,1
comorbidity,comorbid,1
compact bone,bone|compact,2
compact disc,compact|disc,2
compact disc players,compact|disc|player,3
compact discs,compact|disc,2
compact disk,compact|disk,2
compact disks,compact|disk,2
compact space,compact|space,2
compactification (mathematics),compactif|mathemat,2
compaction,compact,1
companies,compani,1
companion animal,anim|companion,2
company & organization profiles,compani|organ|profil,3
company aircraft,aircraft|compani,2
company and organization profiles,compani|organ|profil,3
company automobiles,automobil|compani,2
company earnings,compani|earn,2
company profiles,compani|profil,2
company publications,compani|public,2
company reports,compani|report,2
company structure,compani|structur,2
companyreports,companyreport,1
comparability,compar,1
comparable worth,compar|worth,2
comparative advantage,advantag|compar,2
comparative advertising,advertis|compar,2
comparative analysis,analysi|compar,2
comparative anatomy,anatomi|compar,2
comparative biology,biolog|compar,2
comparative case,case|compar,2
comparative historical research,compar|histor|research,3
comparative history,compar|histori,2
comparative law,compar|law,2
comparative literature,compar|literatur,2
comparative method,compar|method,2
comparative physiology,compar|physiolog,2
comparative religion,compar|religion,2
comparative research,compar|research,2
comparative statics,compar|static,2
comparative studies,compar|studi,2
comparative theology,compar|theolog,2
comparison theorem,comparison|theorem,2
compartment (ship),compart|ship,2
compartment syndrome,compart|syndrom,2
compass,compass,1
compasses,compass,1
compassion,compass,1
compatibility,compat,1
compatibility (geochemistry),compat|geochemistri,2
compatible,compat,1
compatible hardware,compat|hardwar,2
compatible software,compat|softwar,2
compendium,compendium,1
compensation,compens,1
compensation (psychology),compens|psycholog,2
compensation costs,compens|cost,2
compensation plans,compens|plan,2
competence (human resources),compet|human|resourc,3
competency assessment,assess|compet,2
competency tests,compet|test,2
competent authority,author|compet,2
competition,competit,1
competition (biology),biolog|competit,2
competition between banks,bank|competit,2
competition between financial institutions,competit|financi|institut,3
competition policy,competit|polici,2
competition with nonbanks,competit|nonbank,2
competitive advantage,advantag|competit,2
competitive equilibrium,competit|equilibrium,2
competitive intelligence,competit|intellig,2
competitive local exchange carriers,carrier|competit|exchang|local,4
competitor analysis,analysi|competitor,2
compilation & review,compil|review,2
compiler,compil,1
compilers,compil,1
complaint,complaint,1
complaints,complaint,1
complementarity (molecular biology),biolog|complementar|molecular,3
complementary assets,asset|complementari,2
complementary good,complementari|good,2
complementary sequences,complementari|sequenc,2
complete blood count,blood|complet|count,3
complete information,complet|inform,2
complete intersection,complet|intersect,2
complete market,complet|market,2
completely randomized design,complet|design|random,3
completeness (order theory),complet|order|theori,3
completion (oil and gas wells),complet|oil|well,3
complex adaptive system,adapt|complex|system,3
complex conjugate,complex|conjug,2
complex dimension,complex|dimens,2
complex dynamics,complex|dynam,2
complex fluid,complex|fluid,2
complex formation,complex|format,2
complex geometry,complex|geometri,2
complex matrix,complex|matrix,2
complex network,complex|network,2
complex patients,complex|patient,2
complex plane,complex|plane,2
complex programmable logic device,complex|devic|logic|programm,4
complex regional pain syndrome,complex|pain|region|syndrom,4
complex system,complex|system,2
complex systems,complex|system,2
complexification,complexif,1
complexity,complex,1
complexity management,complex|manag,2
complexity science,complex|scienc,2
complexity theory,complex|theori,2
compliance,complianc,1
compliance (psychology),complianc|psycholog,2
compliance auditing,audit|complianc,2
complication,complic,1
complicity,complic,1
component (thermodynamics),compon|thermodynam,2
component analysis,analysi|compon,2
component parts,compon|part,2
componential analysis,analysi|componenti,2
components,compon,1
components industry,compon|industri,2
composability,compos,1
composers,compos,1
composite indicator,composit|indic,2
composite materials,composit|materi,2
composite number,composit|number,2
composites,composit,1
composition,composit,1
composition (language),composit|languag,2
compositional data,composit|datum,2
compost,compost,1
composting,compost,1
compound,compound,1
compound eye,compound|eye,2
compound interest,compound|interest,2
compounding,compound,1
comprehension,comprehens,1
comprehensive planning,comprehens|plan,2
compressed air,air|compress,2
compressed fluid,compress|fluid,2
compressed natural gas,compress|natur,2
compressed sensing,compress|sens,2
compressibility,compress,1
compressing,compress,1
compression (physics),compress|physic,2
compression therapy,compress|therapi,2
compressive strength,compress|strength,2
compromise,compromis,1
compromises,compromis,1
comptrollers,comptrol,1
compulsive behavior,behavior|compuls,2
compulsory education,compulsori|educ,2
compulsory insurance,compulsori|insur,2
computability,comput,1
computability theory,comput|theori,2
computable function,comput|function,2
computable general equilibrium,comput|equilibrium|gener,3
computation,comput,1
computational astrophysics,astrophys|comput,2
computational auditory scene analysis,analysi|auditori|comput|scene,4
computational chemistry,chemistri|comput,2
computational complexity theory,complex|comput|theori,3
computational economics,comput|econom,2
computational finance,comput|financ,2
computational fluid dynamics,comput|dynam|fluid,3
computational geometry,comput|geometri,2
computational intelligence,comput|intellig,2
computational linguistics,comput|linguist,2
computational mathematics,comput|mathemat,2
computational model,comput|model,2
computational neuroscience,comput|neurosci,2
computational physics,comput|physic,2
computational problem,comput|problem,2
computational science and engineering,comput|engin|scienc,3
computational simulation,comput|simul,2
computational sociology,comput|sociolog,2
computational statistics,comput|statist,2
computational thinking,comput|think,2
computed tomography,comput|tomographi,2
computer & video games,comput|game|video,3
computer aided design,aid|comput|design,3
computer aided design--cad,aid|cad|comput|design,4
computer aided engineering,aid|comput|engin,3
computer aided engineering--cae,aid|cae|comput|engin,4
computer aided instruction,aid|comput|instruct,3
computer aided learning,aid|comput|learn,3
computer aided manufacturing,aid|comput|manufactur,3
computer aided manufacturing--cam,aid|cam|comput|manufactur,4
computer aided software engineering,aid|comput|engin|softwar,4
computer and video games,comput|game|video,3
computer animation,anim|comput,2
computer applications,applic|comput,2
computer architecture,architectur|comput,2
computer architecture simulator,architectur|comput|simul,3
computer assisted instruction,assist|comput|instruct,3
computer assisted instruction--cai,assist|cai|comput|instruct,4
computer assisted learning,assist|comput|learn,3
computer assisted surgery--cas,assist|comput|surgeri,3
computer audits,audit|comput,2
computer based modeling,base|comput|model,3
computer centers,center|comput,2
computer chips,chip|comput,2
computer chips;,chip|comput,2
"computer chips; prices (fares, fees and rates);",chip|comput|fare|fee|price|rate,6
computer clones,clone|comput,2
computer cluster,cluster|comput,2
computer crime,comput|crime,2
computer data storage,comput|datum|storag,3
computer database,comput|databas,2
computer design,comput|design,2
computer education,comput|educ,2
computer engineering,comput|engin,2
computer experiment,comput|experi,2
computer file,comput|file,2
computer forensics,comput|forens,2
computer fraud,comput|fraud,2
computer game,comput|game,2
computer graphics,comput|graphic,2
computer hardware & software,comput|hardwar|softwar,3
computer image,comput|imag,2
computer industry,comput|industri,2
computer lab,comput|lab,2
computer laboratory,comput|laboratori,2
computer languages,comput|languag,2
computer leasing,comput|leas,2
computer literacy,comput|literaci,2
computer memory,comput|memori,2
computer modeling and simulation,comput|model|simul,3
computer monitoring,comput|monitor,2
computer mouse,comput|mous,2
computer multitasking,comput|multitask,2
computer music,comput|music,2
computer network programming,comput|network|program,3
computer networks,comput|network,2
computer output microfilm,comput|microfilm|output,3
computer performance,comput|perform,2
computer peripherals,comput|peripher,2
computer platforms,comput|platform,2
computer printers,comput|printer,2
computer privacy,comput|privaci,2
computer products/services/rentals,comput|product|rental|servic,4
computer program,comput|program,2
computer programming,comput|program,2
computer programming & languages,comput|languag|program,3
computer science,comput|scienc,2
computer science and engineering,comput|engin|scienc,3
computer security,comput|secur,2
computer security model,comput|model|secur,3
computer service centers,center|comput|servic,3
computer service industry,comput|industri|servic,3
computer simulation,comput|simul,2
computer software,comput|softwar,2
computer stores,comput|store,2
computer support,comput|support,2
computer supported cooperative work,comput|cooper|support|work,4
computer technology,comput|technolog,2
computer telephone integration,comput|integr|telephon,3
computer terminals,comput|termin,2
computer to plate technology,comput|plate|technolog,3
computer training,comput|train,2
computer upgrading,comput|upgrad,2
computer use,comput|use,2
computer user identification,comput|identif|user,3
computer users,comput|user,2
computer virus,comput|viru,2
computer viruses,comput|viru,2
computer vision,comput|vision,2
computer-aided,aid|comput,2
computer-aided diagnosis,aid|comput|diagnosi,3
computer-aided engineering,aid|comput|engin,3
computer-aided technologies,aid|comput|technolog,3
computer-assisted instruction,assist|comput|instruct,3
computer-assisted surgery,assist|comput|surgeri,3
computer-assisted web interviewing,assist|comput|interview|web,4
computer-generated imagery,comput|gener|imageri,3
computer-integrated manufacturing,comput|integr|manufactur,3
computerized loan originations,computer|loan|origin,3
computerized physician order entry,computer|entri|order|physician,4
computers,comput,1
computers and information systems,comput|inform|system,3
computers and information systems: production,comput|inform|product|system,4
computers and information systems;,comput|inform|system,3
computers and information systems; deoxyribonucleic acid (dna),acid|comput|deoxyribonucl|dna|inform|system,6
computers and information systems; education and schools,comput|educ|inform|school|system,5
computers and information technology,comput|inform|technolog,3
computersecurity,computersecur,1
computing time,comput|time,2
concatenation (mathematics),concaten|mathemat,2
concentration camps,camp|concentr,2
concentration gradient,concentr|gradient,2
concentration inequality,concentr|inequ,2
concentration of measure,concentr|measur,2
concentrator,concentr,1
concentric,concentr,1
concept class,class|concept,2
concept inventory,concept|inventori,2
concept learning,concept|learn,2
concept map,concept|map,2
concept mapping,concept|map,2
conceptual analysis,analysi|conceptu,2
conceptual art,art|conceptu,2
conceptual change,chang|conceptu,2
conceptual design,conceptu|design,2
conceptual framework,conceptu|framework,2
conceptual model,conceptu|model,2
conceptual system,conceptu|system,2
conceptualism,conceptu,1
conceptualization,conceptu,1
concertos,concerto,1
concerts,concert,1
concerts and recitals,concert|recit,2
conch,conch,1
concomitant,concomit,1
concordance,concord,1
concordance correlation coefficient,coeffici|concord|correl,3
concrete,concret,1
concrete construction,concret|construct,2
concrete curing,concret|cure,2
concrete cutting,concret|cut,2
concrete floors,concret|floor,2
concrete mixing,concret|mix,2
concrete pavements,concret|pavement,2
concreteness,concret,1
concretion,concret,1
concurrency,concurr,1
concurrency control,concurr|control,2
concurrent computing,comput|concurr,2
concurrent engineering,concurr|engin,2
concussion,concuss,1
condemnation of buildings,build|condemn,2
condensation,condens,1
condensed matter physics,condens|matter|physic,3
condensers,condens,1
condiments,condiment,1
condition index,condit|index,2
condition monitoring,condit|monitor,2
condition-based maintenance,base|condit|mainten,3
conditional dependence,condit|depend,2
conditional expectation,condit|expect,2
conditional independence,condit|independ,2
conditional probability,condit|probabl,2
conditional probability distribution,condit|distribut|probabl,3
conditional random field,condit|field|random,3
conditioners,condition,1
conditioning,condit,1
condominiums,condominium,1
condoms,condom,1
condor-2 (missile),missil,1
conduct disorder,conduct|disord,2
conductance,conduct,1
conducting & conductors,conduct|conductor,2
conduction abnormalities,abnorm|conduct,2
conductivity,conduct,1
conductometry,conductometri,1
conductor,conductor,1
conductors,conductor,1
condyle,condyl,1
cone (formal languages),cone|formal|languag,3
cone penetration test,cone|penetr|test,3
confectionery,confectioneri,1
conference proceedings,confer|proceed,2
conferences,confer,1
confession (law),confess|law,2
confessions,confess,1
confidence,confid,1
confidence interval,confid|interv,2
confidence intervals,confid|interv,2
confidential relationships,confidenti|relationship,2
confidentiality,confidenti,1
configuration design,configur|design,2
configuration entropy,configur|entropi,2
configuration management (itsm),configur|itsm|manag,3
configuration space,configur|space,2
configurations,configur,1
configurator,configur,1
confined space,confin|space,2
confirmation bias,bia|confirm,2
confiscation,confisc,1
conflation,conflat,1
conflict avoidance,avoid|conflict,2
conflict management,conflict|manag,2
conflict of interest,conflict|interest,2
conflict of laws,conflict|law,2
conflict resolution,conflict|resolut,2
conflict transformation,conflict|transform,2
conflicts,conflict,1
conflicts of interest,conflict|interest,2
confluence,confluenc,1
confocal,confoc,1
confocal laser scanning microscope,confoc|laser|microscop|scan,4
confocal laser scanning microscopy,confoc|laser|microscopi|scan,4
confocal microscopy,confoc|microscopi,2
conformable matrix,conform|matrix,2
conformal map,conform|map,2
conformational change,chang|conform,2
conformity,conform,1
conformity assessment,assess|conform,2
confounding,confound,1
confounding (statistics),confound|statist,2
confucianism,confucian,1
confusion,confus,1
confusion matrix,confus|matrix,2
congelation,congel,1
congener,congen,1
congenital adrenal hyperplasia,adren|congenit|hyperplasia,3
congenital disease,congenit|diseas,2
congenital diseases,congenit|diseas,2
congenital disorder,congenit|disord,2
conger,conger,1
conglomerates,conglomer,1
congregational churches,church|congreg,2
congress,congress,1
congressional committees,committe|congression,2
congressional districts,congression|district,2
congressional elections,congression|elect,2
congressional elections -- illinois,congression|elect|illinoi,3
congressional elections -- massachusetts,congression|elect|massachusett,3
congressional elections -- virginia,congression|elect|virginia,3
congressional hearings,congression|hear,2
congressional investigations,congression|investig,2
congressional reapportionment,congression|reapportion,2
congressional staff,congression|staff,2
congruence (geometry),congruenc|geometri,2
congruence relation,congruenc|relat,2
congruence subgroup,congruenc|subgroup,2
conic section,conic|section,2
conical surface,conic|surfac,2
conidium,conidium,1
conifer cone,cone|conif,2
conjecture,conjectur,1
conjoined twins,conjoin|twin,2
conjoint analysis,analysi|conjoint,2
conjugacy class,class|conjugaci,2
conjugate,conjug,1
conjugate gradient method,conjug|gradient|method,3
conjugate points,conjug|point,2
conjunction (astronomy),astronomi|conjunct,2
conjunctiva,conjunctiva,1
conjunctive normal form,conjunct|form|normal,3
connected component,compon|connect,2
connected mathematics,connect|mathemat,2
connected speech,connect|speech,2
connecting rod,connect|rod,2
connection (principal bundle),bundl|connect|princip,3
connective tissue,connect|tissu,2
connective tissue diseases,connect|diseas|tissu,3
connective tissue disorder,connect|disord|tissu,3
connectivity,connect,1
connectors,connector,1
connotation,connot,1
conoid,conoid,1
conquest,conquest,1
cons,con,1
consanguinity,consanguin,1
conscience,conscienc,1
conscientious objectors,conscienti|objector,2
consciousness,conscious,1
consciousness raising,conscious|rais,2
consecration,consecr,1
consensus algorithm,algorithm|consensu,2
consensus conference,confer|consensu,2
consensus forecast,consensu|forecast,2
consensus reality,consensu|realiti,2
consent,consent,1
consent decree,consent|decre,2
consent decrees,consent|decre,2
consequentialism,consequenti,1
conservation,conserv,1
conservation biology,biolog|conserv,2
conservation easements,conserv|easement,2
conservation law,conserv|law,2
conservation of energy,conserv|energi,2
conservation of mass,conserv|mass,2
conservation of resources,conserv|resourc,2
conservation of resources theory,conserv|resourc|theori,3
conservation practices,conserv|practic,2
conservatism,conservat,1
conservative extension,conserv|extens,2
conservative force,conserv|forc,2
conservative management,conserv|manag,2
conservative treatment,conserv|treatment,2
conservatorship,conservatorship,1
conserved quantity,conserv|quantiti,2
consignment,consign,1
consignment buying,buy|consign,2
consilience,consili,1
consistency (knowledge bases),basi|consist|knowledg,3
consolation,consol,1
consoles,consol,1
consolidated appropriations act 2021-us,act|appropri|consolid,3
consolidated financial statements,consolid|financi|statement,3
consolidated tax returns,consolid|return|tax,3
consolidation,consolid,1
consolidation (business),busi|consolid,2
consonance and dissonance,conson|disson,2
consortia,consortium,1
conspiracy,conspiraci,1
constables,constabl,1
constant (computer programming),comput|constant|program,3
constant coefficients,coeffici|constant,2
constant false alarm rate,alarm|constant|fals|rate,4
constellation,constel,1
constellations,constel,1
constipation,constip,1
constituents,constitu,1
constitution,constitut,1
constitution-us,constitut,1
constitutional amendments,amend|constitut,2
constitutional conventions,constitut|convent,2
constitutional law,constitut|law,2
constitutional review,constitut|review,2
constitutions,constitut,1
constrained optimization,constrain|optim,2
constraint (computer-aided design),aid|comput|constraint|design,4
constriction,constrict,1
constrictions,constrict,1
constrictive pericarditis,constrict|pericard,2
construal level theory,construal|level|theori,3
construct (python library),construct|librari|python,3
constructability,construct,1
constructed language,construct|languag,2
construction,construct,1
construction accidents & safety,accid|construct|safeti,3
construction companies,compani|construct,2
construction contracts,construct|contract,2
construction costs,construct|cost,2
construction equipment,construct|equip,2
construction equipment industry,construct|equip|industri,3
construction grammar,construct|grammar,2
construction industry,construct|industri,2
construction loans,construct|loan,2
construction management,construct|manag,2
construction site safety,construct|safeti|site,3
construction sites,construct|site,2
construction spending,construct|spend,2
construction standards,construct|standard,2
construction waste,construct|wast,2
constructionism,construction,1
constructive dividends,construct|dividend,2
constructive fraud,construct|fraud,2
constructive proof,construct|proof,2
constructive solid geometry,construct|geometri|solid,3
constructive trust,construct|trust,2
constructivism,constructiv,1
consultancy services,consult|servic,2
consultants,consult,1
consultation,consult,1
consulting,consult,1
consulting firms,consult|firm,2
consulting services,consult|servic,2
consumables,consum,1
consumer & business products,busi|consum|product,3
consumer advertising,advertis|consum,2
consumer advocacy,advocaci|consum,2
consumer attitudes,attitud|consum,2
consumer awareness,awar|consum,2
consumer behavior,behavior|consum,2
consumer behaviour,behaviour|consum,2
consumer choice,choic|consum,2
consumer confidence index,confid|consum|index,3
consumer credit,consum|credit,2
consumer culture,consum|cultur,2
consumer demand,consum|demand,2
consumer education,consum|educ,2
consumer electronics,consum|electron,2
consumer finance companies,compani|consum|financ,3
consumer fraud,consum|fraud,2
consumer goods,consum|good,2
consumer health information,consum|health|inform,3
consumer information,consum|inform,2
consumer issues,consum|issu,2
consumer law,consum|law,2
consumer market,consum|market,2
consumer organizations,consum|organ,2
consumer price index,consum|index|price,3
consumer protection,consum|protect,2
consumer protection act,act|consum|protect,3
consumer relations,consum|relat,2
consumer research,consum|research,2
consumer safety,consum|safeti,2
consumer satisfaction,consum|satisfact,2
consumer society,consum|societi,2
consumer spending,consum|spend,2
consumer-driven health plans,consum|drive|health|plan,4
consumerism,consumer,1
consumers,consum,1
consumers and consumption,consum|consumpt,2
consummation,consumm,1
consumption,consumpt,1
consumption (sociology),consumpt|sociolog,2
contact angle,angl|contact,2
contact area,area|contact,2
contact dynamics,contact|dynam,2
contact force,contact|forc,2
contact geometry,contact|geometri,2
contact hypothesis,contact|hypothesi,2
contact lens,contact|len,2
contact lenses,contact|len,2
contact print,contact|print,2
contact process (mathematics),contact|mathemat|process,3
contact system,contact|system,2
contact theory,contact|theori,2
contact tracing,contact|trace,2
contact zone,contact|zone,2
contactless payment,contactless|payment,2
contagious bovine pleuropneumonia,bovin|contagi|pleuropneumonia,3
container (type theory),contain|theori|type,3
container industry,contain|industri,2
container ships,contain|ship,2
containerization,container,1
containers,contain,1
containment (computer programming),comput|contain|program,3
contaminated food,contamin|food,2
contaminated water,contamin|water,2
contamination,contamin,1
contemplation,contempl,1
contemporary art,art|contemporari,2
contemporary dance,contemporari|danc,2
contemporary philosophy,contemporari|philosophi,2
contemporary problems,contemporari|problem,2
contemporary society,contemporari|societi,2
contemporary theory,contemporari|theori,2
contempt,contempt,1
contempt actions,action|contempt,2
contempt of congress,congress|contempt,2
contempt of court,contempt|court,2
content (measure theory),content|measur|theori,3
content analysis,analysi|content,2
content creation,content|creation,2
content delivery,content|deliveri,2
content distribution,content|distribut,2
content management,content|manag,2
content management software,content|manag|softwar,3
