source,year,n_nodes,n_edges,n_core,n_terminals,pairs,key_edge_traversal,mainpath_len_0.05,mainpath_len_0.1,mainpath_len_0.2,mainpath_0.05,mainpath_0.1,mainpath_0.2,mainpath_0.05_named,mainpath_0.1_named,mainpath_0.2_named
paper,1994,13190,46100,1000,1000,499500,1034,30,23,4,1275 -> 5212 -> 15622 -> 11128 -> 23590 -> 24227 -> 21849 -> 4457 -> 24441 -> 20403 -> 14469 -> 1806 -> 10944 -> 5695 -> 21668 -> 13089 -> 21734 -> 21737 -> 18308 -> 21386 -> 19743 -> 25763 -> 28146 -> 6236 -> 9980 -> 28179 -> 10329 -> 28489 -> 4389 -> 809,28698 -> 21668 -> 5695 -> 10944 -> 1806 -> 14469 -> 20403 -> 6236 -> 28146 -> 25763 -> 19743 -> 21386 -> 18308 -> 21737 -> 21734 -> 13089 -> 28179 -> 9980 -> 5212 -> 15622 -> 11128 -> 23590 -> 24227,15622 -> 11128 -> 23590 -> 24227,applied linguistics -> computational linguistics -> machine translation -> gene -> selection (genetic algorithm) -> site selection -> radioactive waste -> class (philosophy) -> social class -> politics -> knowledge representation and reasoning -> automated reasoning -> fuzzy logic -> control (management) -> quality (philosophy) -> image (mathematics) -> query expansion -> query optimization -> object (grammar) -> psychoanalytic theory -> perspective (graphical) -> substance abuse -> variety (cybernetics) -> criticism -> field (mathematics) -> vector field -> flow (mathematics) -> visualization -> citation -> altmetrics,water quality -> quality (philosophy) -> control (management) -> fuzzy logic -> automated reasoning -> knowledge representation and reasoning -> politics -> criticism -> variety (cybernetics) -> substance abuse -> perspective (graphical) -> psychoanalytic theory -> object (grammar) -> query optimization -> query expansion -> image (mathematics) -> vector field -> field (mathematics) -> computational linguistics -> machine translation -> gene -> selection (genetic algorithm) -> site selection,machine translation -> gene -> selection (genetic algorithm) -> site selection
paper,1995,13602,47609,1000,1000,499500,999,19,3,3,115 -> 4459 -> 4457 -> 6466 -> 6956 -> 21037 -> 24929 -> 28146 -> 11283 -> 4389 -> 19743 -> 3457 -> 22151 -> 1479 -> 22322 -> 22321 -> 23636 -> 5695 -> 28817,23636 -> 5695 -> 28817,23636 -> 5695 -> 28817,academic achievement -> class size -> class (philosophy) -> curriculum -> delphi method -> process (computing) -> specialty -> variety (cybernetics) -> george (robot) -> citation -> perspective (graphical) -> cancer -> rectum -> artificial neural network -> reinforcement learning -> reinforcement -> self-control -> control (management) -> weed control,self-control -> control (management) -> weed control,self-control -> control (management) -> weed control
paper,1996,13756,48186,1000,1000,499500,999,26,3,3,12099 -> 13089 -> 9178 -> 6654 -> 5490 -> 10603 -> 24651 -> 6680 -> 6681 -> 6718 -> 18308 -> 29074 -> 21037 -> 22078 -> 14469 -> 20403 -> 24441 -> 4457 -> 14569 -> 12509 -> 22845 -> 4787 -> 29069 -> 24454 -> 5695 -> 13401,24454 -> 5695 -> 13401,24454 -> 5695 -> 13401,hearing loss -> image (mathematics) -> estimator -> data consistency -> consistency (knowledge bases) -> formal specification -> software -> data model (gis) -> data modeling -> database design -> object (grammar) -> work in process -> process (computing) -> reasoning system -> knowledge representation and reasoning -> politics -> social class -> class (philosophy) -> lagrangian -> holonomic -> robot -> collaborative software -> work (physics) -> social control -> control (management) -> infection control,social control -> control (management) -> infection control,social control -> control (management) -> infection control
paper,1997,13975,48886,1000,1000,499500,1040,10,5,5,28206 -> 29207 -> 5695 -> 11128 -> 23590 -> 23591 -> 23128 -> 23132 -> 13089 -> 902,29207 -> 5695 -> 11128 -> 23590 -> 23591,29207 -> 5695 -> 11128 -> 23590 -> 23591,vehicle dynamics -> yaw -> control (management) -> gene -> selection (genetic algorithm) -> selection bias -> sample (material) -> sample size determination -> image (mathematics) -> amorphous solid,yaw -> control (management) -> gene -> selection (genetic algorithm) -> selection bias,yaw -> control (management) -> gene -> selection (genetic algorithm) -> selection bias
paper,1998,14068,49255,1000,1000,499500,999,12,12,9,1966 -> 13089 -> 21668 -> 22477 -> 28146 -> 14721 -> 20403 -> 14469 -> 1806 -> 10944 -> 5695 -> 24454,1966 -> 13089 -> 21668 -> 22477 -> 28146 -> 14721 -> 20403 -> 14469 -> 1806 -> 10944 -> 5695 -> 24454,22477 -> 28146 -> 14721 -> 20403 -> 14469 -> 1806 -> 10944 -> 5695 -> 24454,background noise -> image (mathematics) -> quality (philosophy) -> reputation -> variety (cybernetics) -> latin americans -> politics -> knowledge representation and reasoning -> automated reasoning -> fuzzy logic -> control (management) -> social control,background noise -> image (mathematics) -> quality (philosophy) -> reputation -> variety (cybernetics) -> latin americans -> politics -> knowledge representation and reasoning -> automated reasoning -> fuzzy logic -> control (management) -> social control,reputation -> variety (cybernetics) -> latin americans -> politics -> knowledge representation and reasoning -> automated reasoning -> fuzzy logic -> control (management) -> social control
paper,1999,14445,50667,1000,1000,499500,950,15,12,7,12099 -> 13089 -> 1930 -> 15622 -> 11128 -> 24218 -> 23590 -> 20520 -> 24441 -> 4457 -> 14703 -> 14708 -> 28125 -> 5695 -> 25376,15622 -> 11128 -> 24218 -> 23590 -> 20520 -> 24441 -> 4457 -> 14703 -> 14708 -> 28125 -> 5695 -> 25376,24441 -> 4457 -> 14703 -> 14708 -> 28125 -> 5695 -> 25376,hearing loss -> image (mathematics) -> azimuth -> machine translation -> gene -> sire -> selection (genetic algorithm) -> population -> social class -> class (philosophy) -> latent class model -> latent variable -> variable (mathematics) -> control (management) -> steering wheel,machine translation -> gene -> sire -> selection (genetic algorithm) -> population -> social class -> class (philosophy) -> latent class model -> latent variable -> variable (mathematics) -> control (management) -> steering wheel,social class -> class (philosophy) -> latent class model -> latent variable -> variable (mathematics) -> control (management) -> steering wheel
paper,2000,14976,52460,1000,1000,499500,945,14,7,4,637 -> 634 -> 18041 -> 1966 -> 13089 -> 21668 -> 452 -> 23590 -> 28816 -> 28817 -> 5695 -> 17166 -> 17174 -> 17234,452 -> 23590 -> 28816 -> 28817 -> 5695 -> 17166 -> 17174,28817 -> 5695 -> 17166 -> 17174,air quality index -> air pollution -> noise reduction -> background noise -> image (mathematics) -> quality (philosophy) -> adverse selection -> selection (genetic algorithm) -> weed -> weed control -> control (management) -> motion (physics) -> motion picture -> movie theater,adverse selection -> selection (genetic algorithm) -> weed -> weed control -> control (management) -> motion (physics) -> motion picture,weed control -> control (management) -> motion (physics) -> motion picture
paper,2001,15232,53379,1000,1000,499500,1012,45,12,7,26796 -> 23551 -> 12877 -> 28698 -> 21668 -> 9281 -> 10944 -> 22790 -> 21004 -> 21039 -> 21037 -> 24652 -> 24651 -> 2626 -> 1479 -> 6455 -> 20503 -> 452 -> 23590 -> 11128 -> 15622 -> 5212 -> 26271 -> 29068 -> 23838 -> 6701 -> 6305 -> 5695 -> 151 -> 5628 -> 22989 -> 1829 -> 4457 -> 16664 -> 20403 -> 22558 -> 7641 -> 1342 -> 19743 -> 24438 -> 4729 -> 23260 -> 17881 -> 13089 -> 1966,452 -> 23590 -> 11128 -> 15622 -> 5212 -> 26271 -> 29068 -> 23838 -> 6701 -> 6305 -> 5695 -> 151,452 -> 23590 -> 11128 -> 15622 -> 5212 -> 26271 -> 29068,thin film -> sediment -> hydrology (agriculture) -> water quality -> quality (philosophy) -> evaluation methods -> fuzzy logic -> risk assessment -> probabilistic logic -> process calculus -> process (computing) -> software agent -> software -> black box -> artificial neural network -> currency -> pooling -> adverse selection -> selection (genetic algorithm) -> gene -> machine translation -> computational linguistics -> task (project management) -> wordnet -> set (abstract data type) -> data set -> cruise -> control (management) -> access control -> context (archaeology) -> rule-based machine translation -> automaton -> class (philosophy) -> middle class -> politics -> resolution (logic) -> dispute resolution -> arbitration -> perspective (graphical) -> social change -> cognition -> schizophrenia (object-oriented programming) -> neuroimaging -> image (mathematics) -> background noise,adverse selection -> selection (genetic algorithm) -> gene -> machine translation -> computational linguistics -> task (project management) -> wordnet -> set (abstract data type) -> data set -> cruise -> control (management) -> access control,adverse selection -> selection (genetic algorithm) -> gene -> machine translation -> computational linguistics -> task (project management) -> wordnet
paper,2002,15807,56212,1000,1000,499500,1014,28,5,5,20840 -> 5695 -> 28548 -> 13089 -> 21854 -> 5690 -> 1002 -> 28489 -> 24651 -> 24652 -> 21037 -> 6956 -> 6466 -> 4457 -> 16664 -> 20403 -> 22558 -> 7160 -> 943 -> 8587 -> 16604 -> 314 -> 23935 -> 11128 -> 27375 -> 7764 -> 23590 -> 452,20840 -> 5695 -> 28548 -> 13089 -> 21854,20840 -> 5695 -> 28548 -> 13089 -> 21854,pressure control -> control (management) -> voltage -> image (mathematics) -> radiography -> contrast (vision) -> angiography -> visualization -> software -> software agent -> process (computing) -> delphi method -> curriculum -> class (philosophy) -> middle class -> politics -> resolution (logic) -> detection limit -> analytical chemistry (journal) -> electrophoresis -> microfluidics -> actuator -> shape-memory alloy -> gene -> transposition (logic) -> dna -> selection (genetic algorithm) -> adverse selection,pressure control -> control (management) -> voltage -> image (mathematics) -> radiography,pressure control -> control (management) -> voltage -> image (mathematics) -> radiography
paper,2003,16038,56774,1000,1000,499500,920,32,3,3,12367 -> 10104 -> 19398 -> 26080 -> 25582 -> 10115 -> 22775 -> 17166 -> 12509 -> 22845 -> 27705 -> 5628 -> 24652 -> 24651 -> 13011 -> 28734 -> 7764 -> 11128 -> 16088 -> 23590 -> 20520 -> 12099 -> 13089 -> 20403 -> 11283 -> 4389 -> 19743 -> 29074 -> 21037 -> 12837 -> 5695 -> 25376,12837 -> 5695 -> 25376,12837 -> 5695 -> 25376,high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> syllable -> stress (linguistics) -> finite element method -> rigid body -> motion (physics) -> holonomic -> robot -> ubiquitous computing -> context (archaeology) -> software agent -> software -> ibm -> watson -> dna -> gene -> mating -> selection (genetic algorithm) -> population -> hearing loss -> image (mathematics) -> politics -> george (robot) -> citation -> perspective (graphical) -> work in process -> process (computing) -> hydraulic machinery -> control (management) -> steering wheel,hydraulic machinery -> control (management) -> steering wheel,hydraulic machinery -> control (management) -> steering wheel
paper,2004,16199,57245,1000,1000,499500,997,7,7,3,2293 -> 22845 -> 14663 -> 28489 -> 5405 -> 13089 -> 12099,2293 -> 22845 -> 14663 -> 28489 -> 5405 -> 13089 -> 12099,2293 -> 22845 -> 14663,benthic zone -> robot -> laparoscopy -> visualization -> confocal microscopy -> image (mathematics) -> hearing loss,benthic zone -> robot -> laparoscopy -> visualization -> confocal microscopy -> image (mathematics) -> hearing loss,benthic zone -> robot -> laparoscopy
paper,2005,16454,58272,1000,1000,499500,901,33,6,3,6701 -> 23838 -> 17075 -> 18065 -> 14469 -> 20403 -> 12760 -> 19743 -> 19573 -> 13743 -> 292 -> 4826 -> 4457 -> 3751 -> 8771 -> 22558 -> 12367 -> 10104 -> 19398 -> 26134 -> 21795 -> 7833 -> 27732 -> 5690 -> 2712 -> 10329 -> 5711 -> 5695 -> 25376 -> 20675 -> 20686 -> 13089 -> 6344,6344 -> 13089 -> 10329 -> 5711 -> 5695 -> 25376,5711 -> 5695 -> 25376,data set -> set (abstract data type) -> monotonic function -> non-monotonic logic -> knowledge representation and reasoning -> politics -> human rights -> perspective (graphical) -> perception -> intelligibility (philosophy) -> active listening -> college english -> class (philosophy) -> catalysis -> enantiomer -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> synthetic aperture radar -> radar -> doppler effect -> ultrasonography -> contrast (vision) -> blood flow -> flow (mathematics) -> control valves -> control (management) -> steering wheel -> power (physics) -> power station -> image (mathematics) -> crystallite,crystallite -> image (mathematics) -> flow (mathematics) -> control valves -> control (management) -> steering wheel,control valves -> control (management) -> steering wheel
paper,2006,16760,59428,1000,1000,499500,910,14,3,3,29074 -> 21037 -> 14469 -> 20403 -> 14108 -> 19743 -> 4944 -> 9274 -> 27375 -> 11128 -> 28206 -> 29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,work in process -> process (computing) -> knowledge representation and reasoning -> politics -> islam -> perspective (graphical) -> commission -> european union -> transposition (logic) -> gene -> vehicle dynamics -> yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel
paper,2007,17037,60403,1000,1000,499500,894,24,3,3,19529 -> 18094 -> 1967 -> 20403 -> 5891 -> 19743 -> 1342 -> 7641 -> 22558 -> 12367 -> 10104 -> 19398 -> 6701 -> 23838 -> 2513 -> 11128 -> 28206 -> 29207 -> 5695 -> 20330 -> 18363 -> 12099 -> 13089 -> 6344,12099 -> 13089 -> 6344,12099 -> 13089 -> 6344,pendulum -> nonlinear system -> backlash -> politics -> corporate social responsibility -> perspective (graphical) -> arbitration -> dispute resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> data set -> set (abstract data type) -> biological network -> gene -> vehicle dynamics -> yaw -> control (management) -> poison control -> occupational safety and health -> hearing loss -> image (mathematics) -> crystallite,hearing loss -> image (mathematics) -> crystallite,hearing loss -> image (mathematics) -> crystallite
paper,2008,17195,61009,1000,1000,499500,894,32,3,3,24651 -> 14830 -> 18308 -> 19891 -> 5628 -> 25465 -> 12616 -> 1479 -> 10937 -> 10940 -> 29069 -> 18363 -> 12099 -> 13089 -> 19398 -> 4623 -> 14461 -> 14460 -> 21037 -> 14469 -> 20403 -> 24441 -> 4457 -> 17275 -> 19743 -> 12108 -> 27375 -> 11128 -> 28206 -> 29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,software -> learning object -> object (grammar) -> phone -> context (archaeology) -> stock (firearms) -> horse -> artificial neural network -> futures contract -> futures studies -> work (physics) -> occupational safety and health -> hearing loss -> image (mathematics) -> pattern recognition (psychology) -> cluster analysis -> knowledge extraction -> knowledge engineering -> process (computing) -> knowledge representation and reasoning -> politics -> social class -> class (philosophy) -> multiculturalism -> perspective (graphical) -> heart disease -> transposition (logic) -> gene -> vehicle dynamics -> yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel
paper,2009,17403,61761,1000,1000,499500,911,20,3,3,14471 -> 18811 -> 14460 -> 21037 -> 5397 -> 22558 -> 12367 -> 10104 -> 19398 -> 15706 -> 20403 -> 5891 -> 19743 -> 7515 -> 27375 -> 11128 -> 28206 -> 29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,29207 -> 5695 -> 25376,knowledge sharing -> organizational learning -> knowledge engineering -> process (computing) -> conflict resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> majority rule -> politics -> corporate social responsibility -> perspective (graphical) -> directive -> transposition (logic) -> gene -> vehicle dynamics -> yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel,yaw -> control (management) -> steering wheel
paper,2010,17459,61926,1000,1000,499500,924,6,3,3,25376 -> 5695 -> 21668 -> 15622 -> 11128 -> 27375,15622 -> 11128 -> 27375,15622 -> 11128 -> 27375,steering wheel -> control (management) -> quality (philosophy) -> machine translation -> gene -> transposition (logic),machine translation -> gene -> transposition (logic),machine translation -> gene -> transposition (logic)
paper,2011,17582,62300,1000,1000,499500,947,31,5,5,16664 -> 4457 -> 2997 -> 21037 -> 19396 -> 16035 -> 25408 -> 2437 -> 19573 -> 28486 -> 26271 -> 643 -> 5397 -> 22558 -> 12367 -> 10104 -> 19398 -> 15706 -> 20403 -> 5891 -> 19743 -> 16172 -> 4532 -> 22845 -> 22849 -> 11932 -> 5695 -> 5711 -> 10329 -> 13089 -> 21811,5711 -> 5695 -> 4532 -> 22845 -> 22849,5711 -> 5695 -> 4532 -> 22845 -> 22849,middle class -> class (philosophy) -> brainstorming -> process (computing) -> pattern matching -> matching (statistics) -> stereopsis -> binocular vision -> perception -> visual search -> task (project management) -> air traffic control -> conflict resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> majority rule -> politics -> corporate social responsibility -> perspective (graphical) -> mechanism (biology) -> climbing -> robot -> robotic surgery -> haptic technology -> control (management) -> control valves -> flow (mathematics) -> image (mathematics) -> radiation dose,control valves -> control (management) -> climbing -> robot -> robotic surgery,control valves -> control (management) -> climbing -> robot -> robotic surgery
paper,2012,17741,62890,1000,1000,499500,918,22,3,3,24441 -> 4457 -> 20330 -> 18363 -> 12099 -> 13089 -> 23128 -> 23591 -> 23590 -> 17327 -> 10944 -> 14469 -> 20403 -> 10051 -> 19743 -> 29074 -> 21037 -> 20686 -> 20675 -> 25376 -> 5695 -> 29207,25376 -> 5695 -> 29207,25376 -> 5695 -> 29207,social class -> class (philosophy) -> poison control -> occupational safety and health -> hearing loss -> image (mathematics) -> sample (material) -> selection bias -> selection (genetic algorithm) -> multiple-criteria decision analysis -> fuzzy logic -> knowledge representation and reasoning -> politics -> financial crisis -> perspective (graphical) -> work in process -> process (computing) -> power station -> power (physics) -> steering wheel -> control (management) -> yaw,steering wheel -> control (management) -> yaw,steering wheel -> control (management) -> yaw
paper,2013,17783,63115,1000,1000,499500,869,27,3,3,1816 -> 20675 -> 25376 -> 5695 -> 29207 -> 28206 -> 11128 -> 27375 -> 7515 -> 19743 -> 5891 -> 20403 -> 14469 -> 21037 -> 8876 -> 21004 -> 11615 -> 4389 -> 13089 -> 12099 -> 19573 -> 4871 -> 19398 -> 10104 -> 12367 -> 22558 -> 5397,25376 -> 5695 -> 29207,25376 -> 5695 -> 29207,automatic frequency control -> power (physics) -> steering wheel -> control (management) -> yaw -> vehicle dynamics -> gene -> transposition (logic) -> directive -> perspective (graphical) -> corporate social responsibility -> politics -> knowledge representation and reasoning -> process (computing) -> engineering design process -> probabilistic logic -> graphical model -> citation -> image (mathematics) -> hearing loss -> perception -> color vision -> pattern recognition (psychology) -> fingerprint (computing) -> high-performance liquid chromatography -> resolution (logic) -> conflict resolution,steering wheel -> control (management) -> yaw,steering wheel -> control (management) -> yaw
paper,2014,17745,62952,1000,1000,499500,912,35,17,6,11128 -> 12393 -> 17234 -> 28146 -> 6114 -> 2997 -> 21037 -> 26147 -> 8080 -> 16999 -> 10494 -> 9980 -> 28472 -> 19573 -> 28584 -> 19898 -> 25582 -> 10115 -> 15174 -> 5695 -> 7102 -> 1479 -> 20733 -> 4526 -> 19743 -> 16211 -> 7641 -> 22558 -> 20403 -> 24441 -> 4457 -> 14703 -> 21003 -> 13089 -> 21811,15174 -> 5695 -> 7102 -> 1479 -> 20733 -> 4526 -> 19743 -> 16211 -> 7641 -> 22558 -> 20403 -> 24441 -> 4457 -> 14703 -> 21003 -> 13089 -> 21811,24441 -> 4457 -> 14703 -> 21003 -> 13089 -> 21811,gene -> hindi -> movie theater -> variety (cybernetics) -> creativity -> brainstorming -> process (computing) -> system dynamics -> dynamics (music) -> molecular dynamics -> force field (fiction) -> field (mathematics) -> visual field -> perception -> vowel -> phonology -> stress (linguistics) -> finite element method -> linear motor -> control (management) -> descent (aeronautics) -> artificial neural network -> precipitation -> climate change -> perspective (graphical) -> mediation -> dispute resolution -> resolution (logic) -> politics -> social class -> class (philosophy) -> latent class model -> probabilistic latent semantic analysis -> image (mathematics) -> radiation dose,linear motor -> control (management) -> descent (aeronautics) -> artificial neural network -> precipitation -> climate change -> perspective (graphical) -> mediation -> dispute resolution -> resolution (logic) -> politics -> social class -> class (philosophy) -> latent class model -> probabilistic latent semantic analysis -> image (mathematics) -> radiation dose,social class -> class (philosophy) -> latent class model -> probabilistic latent semantic analysis -> image (mathematics) -> radiation dose
paper,2015,17750,62981,1000,1000,499500,919,3,3,3,11572 -> 13089 -> 21811,11572 -> 13089 -> 21811,11572 -> 13089 -> 21811,grain size -> image (mathematics) -> radiation dose,grain size -> image (mathematics) -> radiation dose,grain size -> image (mathematics) -> radiation dose
paper,2016,17737,62984,1000,1000,499500,898,44,3,3,24227 -> 23590 -> 27071 -> 10944 -> 713 -> 12509 -> 22845 -> 26560 -> 19018 -> 5490 -> 4086 -> 5690 -> 28457 -> 4025 -> 21037 -> 8337 -> 10298 -> 4457 -> 20520 -> 21676 -> 21668 -> 24794 -> 11128 -> 28206 -> 29207 -> 5695 -> 24317 -> 16644 -> 11572 -> 13089 -> 1966 -> 19573 -> 19743 -> 5891 -> 5628 -> 25465 -> 1479 -> 23691 -> 19398 -> 10104 -> 12367 -> 22558 -> 7641 -> 1342,11572 -> 13089 -> 1966,11572 -> 13089 -> 1966,site selection -> selection (genetic algorithm) -> topsis -> fuzzy logic -> algebra over a field -> holonomic -> robot -> terminology -> ozone -> consistency (knowledge bases) -> chemical nomenclature -> contrast (vision) -> visual acuity -> chart -> process (computing) -> educational technology -> flipped classroom -> class (philosophy) -> population -> quality of life (healthcare) -> quality (philosophy) -> source text -> gene -> vehicle dynamics -> yaw -> control (management) -> slip (aerodynamics) -> microstructure -> grain size -> image (mathematics) -> background noise -> perception -> perspective (graphical) -> corporate social responsibility -> context (archaeology) -> stock (firearms) -> artificial neural network -> semi-supervised learning -> pattern recognition (psychology) -> fingerprint (computing) -> high-performance liquid chromatography -> resolution (logic) -> dispute resolution -> arbitration,grain size -> image (mathematics) -> background noise,grain size -> image (mathematics) -> background noise
paper,2017,17737,63093,1000,1000,499500,998,22,22,3,11572 -> 13089 -> 3457 -> 22849 -> 22845 -> 6305 -> 5695 -> 19891 -> 5628 -> 14786 -> 19743 -> 1342 -> 7641 -> 22558 -> 12367 -> 10104 -> 19398 -> 15706 -> 20403 -> 24441 -> 4457 -> 29125,11572 -> 13089 -> 3457 -> 22849 -> 22845 -> 6305 -> 5695 -> 19891 -> 5628 -> 14786 -> 19743 -> 1342 -> 7641 -> 22558 -> 12367 -> 10104 -> 19398 -> 15706 -> 20403 -> 24441 -> 4457 -> 29125,24441 -> 4457 -> 29125,grain size -> image (mathematics) -> cancer -> robotic surgery -> robot -> cruise -> control (management) -> phone -> context (archaeology) -> leadership style -> perspective (graphical) -> arbitration -> dispute resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> majority rule -> politics -> social class -> class (philosophy) -> world class,grain size -> image (mathematics) -> cancer -> robotic surgery -> robot -> cruise -> control (management) -> phone -> context (archaeology) -> leadership style -> perspective (graphical) -> arbitration -> dispute resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> majority rule -> politics -> social class -> class (philosophy) -> world class,social class -> class (philosophy) -> world class
paper,2018,17910,63751,1000,1000,499500,964,3,3,3,6657 -> 13089 -> 11572,6657 -> 13089 -> 11572,6657 -> 13089 -> 11572,data cube -> image (mathematics) -> grain size,data cube -> image (mathematics) -> grain size,data cube -> image (mathematics) -> grain size
paper,2019,18025,64280,1000,1000,499500,895,42,10,3,16644 -> 11572 -> 13089 -> 6276 -> 25935 -> 2188 -> 2189 -> 16929 -> 23590 -> 6061 -> 9178 -> 25322 -> 13408 -> 14469 -> 20403 -> 5397 -> 22558 -> 12367 -> 10104 -> 19398 -> 2277 -> 15388 -> 20520 -> 136 -> 26587 -> 14821 -> 4457 -> 2997 -> 21037 -> 11705 -> 22845 -> 22849 -> 11932 -> 5695 -> 29207 -> 28206 -> 11128 -> 24794 -> 21668 -> 637 -> 1479 -> 7102,29207 -> 5695 -> 26587 -> 14821 -> 4457 -> 2997 -> 21037 -> 11705 -> 22845 -> 22849,11705 -> 22845 -> 22849,microstructure -> grain size -> image (mathematics) -> cross-validation -> support vector machine -> bayesian optimization -> bayesian probability -> model selection -> selection (genetic algorithm) -> covariate -> estimator -> statistical inference -> inference -> knowledge representation and reasoning -> politics -> conflict resolution -> resolution (logic) -> high-performance liquid chromatography -> fingerprint (computing) -> pattern recognition (psychology) -> benchmark (surveying) -> local search (optimization) -> population -> academic year -> test (biology) -> learning cycle -> class (philosophy) -> brainstorming -> process (computing) -> grippers -> robot -> robotic surgery -> haptic technology -> control (management) -> yaw -> vehicle dynamics -> gene -> source text -> quality (philosophy) -> air quality index -> artificial neural network -> descent (aeronautics),yaw -> control (management) -> test (biology) -> learning cycle -> class (philosophy) -> brainstorming -> process (computing) -> grippers -> robot -> robotic surgery,grippers -> robot -> robotic surgery
paper,2020,18200,65007,1000,1000,499500,1250,13,6,4,29207 -> 5695 -> 8876 -> 21037 -> 14469 -> 20403 -> 24441 -> 4457 -> 25253 -> 24957 -> 13089 -> 23579 -> 24765,24441 -> 4457 -> 25253 -> 24957 -> 13089 -> 23579,24441 -> 4457 -> 25253 -> 24957,yaw -> control (management) -> engineering design process -> process (computing) -> knowledge representation and reasoning -> politics -> social class -> class (philosophy) -> stars -> spectral line -> image (mathematics) -> seismic noise -> sound (geography),social class -> class (philosophy) -> stars -> spectral line -> image (mathematics) -> seismic noise,social class -> class (philosophy) -> stars -> spectral line
paper,2021,18068,64653,1000,1000,499500,998,12,10,6,11552 -> 5738 -> 7102 -> 1479 -> 15285 -> 20675 -> 27166 -> 28548 -> 5695 -> 4532 -> 22845 -> 22849,7102 -> 1479 -> 15285 -> 20675 -> 27166 -> 28548 -> 5695 -> 4532 -> 22845 -> 22849,27166 -> 28548 -> 5695 -> 4532 -> 22845 -> 22849,gradient method -> convergence (economics) -> descent (aeronautics) -> artificial neural network -> lithium (medication) -> power (physics) -> traction motor -> voltage -> control (management) -> climbing -> robot -> robotic surgery,descent (aeronautics) -> artificial neural network -> lithium (medication) -> power (physics) -> traction motor -> voltage -> control (management) -> climbing -> robot -> robotic surgery,traction motor -> voltage -> control (management) -> climbing -> robot -> robotic surgery
paper,2022,18044,64642,1000,1000,499500,855,13,3,3,11552 -> 5738 -> 7102 -> 1479 -> 8876 -> 21037 -> 281 -> 4457 -> 19398 -> 9812 -> 12837 -> 5695 -> 29207,12837 -> 5695 -> 29207,12837 -> 5695 -> 29207,gradient method -> convergence (economics) -> descent (aeronautics) -> artificial neural network -> engineering design process -> process (computing) -> action research -> class (philosophy) -> pattern recognition (psychology) -> fault (geology) -> hydraulic machinery -> control (management) -> yaw,hydraulic machinery -> control (management) -> yaw,hydraulic machinery -> control (management) -> yaw
paper,2023,18111,64824,1000,1000,499500,846,31,6,3,20930 -> 20932 -> 4120 -> 19398 -> 15639 -> 6868 -> 16636 -> 22558 -> 23232 -> 16644 -> 11572 -> 13089 -> 12099 -> 20520 -> 4457 -> 281 -> 21037 -> 8876 -> 1479 -> 26109 -> 22104 -> 19743 -> 5891 -> 20403 -> 14469 -> 11604 -> 14463 -> 28548 -> 5695 -> 8570 -> 25180,8876 -> 21037 -> 16644 -> 11572 -> 13089 -> 12099,11572 -> 13089 -> 12099,principal (computer security) -> principal component analysis -> chemometrics -> pattern recognition (psychology) -> macular degeneration -> deep learning -> microscopy -> resolution (logic) -> scanning electron microscope -> microstructure -> grain size -> image (mathematics) -> hearing loss -> population -> class (philosophy) -> action research -> process (computing) -> engineering design process -> artificial neural network -> synapse -> receptor -> perspective (graphical) -> corporate social responsibility -> politics -> knowledge representation and reasoning -> graph -> knowledge graph -> voltage -> control (management) -> electronic stability control -> stability (learning theory),engineering design process -> process (computing) -> microstructure -> grain size -> image (mathematics) -> hearing loss,grain size -> image (mathematics) -> hearing loss
