source,year,n_nodes,n_edges,n_core,n_terminals,pairs,key_edge_traversal,mainpath_len_0.05,mainpath_len_0.1,mainpath_len_0.2,mainpath_0.05,mainpath_0.1,mainpath_0.2,mainpath_0.05_named,mainpath_0.1_named,mainpath_0.2_named
news,2000,4667,16317,1000,1000,499500,4970,11,11,11,2983 -> 7523 -> 11914 -> 2680 -> 28453 -> 22850 -> 22851 -> 1827 -> 24651 -> 11242 -> 6652,2983 -> 7523 -> 11914 -> 2680 -> 28453 -> 22850 -> 22851 -> 1827 -> 24651 -> 11242 -> 6652,2983 -> 7523 -> 11914 -> 2680 -> 28453 -> 22850 -> 22851 -> 1827 -> 24651 -> 11242 -> 6652,brain damage -> disability -> handicapped accessibility -> blindness -> vision systems -> robotics -> robots -> automation -> software -> geographic information systems -> data communications,brain damage -> disability -> handicapped accessibility -> blindness -> vision systems -> robotics -> robots -> automation -> software -> geographic information systems -> data communications,brain damage -> disability -> handicapped accessibility -> blindness -> vision systems -> robotics -> robots -> automation -> software -> geographic information systems -> data communications
news,2001,4601,16079,1000,1000,499500,4283,7,7,7,17428 -> 17431 -> 17426 -> 1827 -> 22851 -> 27145 -> 4803,17428 -> 17431 -> 17426 -> 1827 -> 22851 -> 27145 -> 4803,17428 -> 17431 -> 17426 -> 1827 -> 22851 -> 27145 -> 4803,musical recordings -> musicians & conductors -> musical performances -> automation -> robots -> toys -> collectibles,musical recordings -> musicians & conductors -> musical performances -> automation -> robots -> toys -> collectibles,musical recordings -> musicians & conductors -> musical performances -> automation -> robots -> toys -> collectibles
news,2002,4707,16437,1000,1000,499500,2251,6,6,6,17088 -> 24825 -> 22851 -> 1827 -> 20898 -> 11055,17088 -> 24825 -> 22851 -> 1827 -> 20898 -> 11055,17088 -> 24825 -> 22851 -> 1827 -> 20898 -> 11055,moon -> space exploration -> robots -> automation -> prices -> gasoline,moon -> space exploration -> robots -> automation -> prices -> gasoline,moon -> space exploration -> robots -> automation -> prices -> gasoline
news,2003,4809,16658,1000,1000,499500,3760,12,11,6,8993 -> 11242 -> 24651 -> 1827 -> 22851 -> 25680 -> 13511 -> 523 -> 2639 -> 16825 -> 12414 -> 6422,8993 -> 11242 -> 24651 -> 1827 -> 22851 -> 25680 -> 13511 -> 523 -> 2639 -> 16825 -> 12414,8993 -> 11242 -> 24651 -> 1827 -> 22851 -> 25680,environmental protection -> geographic information systems -> software -> automation -> robots -> students -> information systems -> african americans -> black people -> minority & ethnic groups -> hispanic people -> culture,environmental protection -> geographic information systems -> software -> automation -> robots -> students -> information systems -> african americans -> black people -> minority & ethnic groups -> hispanic people,environmental protection -> geographic information systems -> software -> automation -> robots -> students
news,2004,5082,17700,1000,1000,499500,3090,8,8,8,20381 -> 20904 -> 3463 -> 1827 -> 22851 -> 17180 -> 1424 -> 28462,20381 -> 20904 -> 3463 -> 1827 -> 22851 -> 17180 -> 1424 -> 28462,20381 -> 20904 -> 3463 -> 1827 -> 22851 -> 17180 -> 1424 -> 28462,political campaigns -> primaries & caucuses -> candidates -> automation -> robots -> motion pictures -> art -> visual artists,political campaigns -> primaries & caucuses -> candidates -> automation -> robots -> motion pictures -> art -> visual artists,political campaigns -> primaries & caucuses -> candidates -> automation -> robots -> motion pictures -> art -> visual artists
news,2005,5231,18222,1000,1000,499500,2971,7,7,7,29209 -> 17180 -> 22851 -> 1827 -> 24651 -> 11242 -> 29295,29209 -> 17180 -> 22851 -> 1827 -> 24651 -> 11242 -> 29295,29209 -> 17180 -> 22851 -> 1827 -> 24651 -> 11242 -> 29295,year in review -> motion pictures -> robots -> automation -> software -> geographic information systems -> zoning,year in review -> motion pictures -> robots -> automation -> software -> geographic information systems -> zoning,year in review -> motion pictures -> robots -> automation -> software -> geographic information systems -> zoning
news,2006,5257,18237,1000,1000,499500,2279,6,6,6,21523 -> 11242 -> 24651 -> 1827 -> 12556 -> 17747,21523 -> 11242 -> 24651 -> 1827 -> 12556 -> 17747,21523 -> 11242 -> 24651 -> 1827 -> 12556 -> 17747,public works -> geographic information systems -> software -> automation -> homeowners -> negligence,public works -> geographic information systems -> software -> automation -> homeowners -> negligence,public works -> geographic information systems -> software -> automation -> homeowners -> negligence
news,2007,5989,20919,1000,1000,499500,2135,10,6,6,25980 -> 12643 -> 22851 -> 1827 -> 15353 -> 15346 -> 7446 -> 13511 -> 119 -> 11565,25980 -> 12643 -> 22851 -> 1827 -> 15353 -> 15346,25980 -> 12643 -> 22851 -> 1827 -> 15353 -> 15346,surgical apparatus & instruments -> hospitals -> robots -> automation -> loans -> loan losses -> dilution -> information systems -> academic degrees -> graduations & commencements,surgical apparatus & instruments -> hospitals -> robots -> automation -> loans -> loan losses,surgical apparatus & instruments -> hospitals -> robots -> automation -> loans -> loan losses
news,2008,6187,21731,1000,1000,499500,2651,7,7,4,21889 -> 27249 -> 1827 -> 12643 -> 22851 -> 17180 -> 22087,21889 -> 27249 -> 1827 -> 12643 -> 22851 -> 17180 -> 22087,12643 -> 22851 -> 17180 -> 22087,railroad transportation -> trains -> automation -> hospitals -> robots -> motion pictures -> recall of government officials,railroad transportation -> trains -> automation -> hospitals -> robots -> motion pictures -> recall of government officials,hospitals -> robots -> motion pictures -> recall of government officials
news,2009,6004,20988,1000,1000,499500,1936,13,7,7,5526 -> 12683 -> 17322 -> 22044 -> 13511 -> 5776 -> 8443 -> 5531 -> 1827 -> 12643 -> 22851 -> 24834 -> 17305,8443 -> 5531 -> 1827 -> 12643 -> 22851 -> 24834 -> 17305,8443 -> 5531 -> 1827 -> 12643 -> 22851 -> 24834 -> 17305,construction contracts -> houses -> multiple listing services -> real estate sales -> information systems -> cooperation -> electrical contractors -> construction industry -> automation -> hospitals -> robots -> space stations -> multinational space ventures,electrical contractors -> construction industry -> automation -> hospitals -> robots -> space stations -> multinational space ventures,electrical contractors -> construction industry -> automation -> hospitals -> robots -> space stations -> multinational space ventures
news,2010,5617,19565,1000,1000,499500,2390,8,5,5,27974 -> 13892 -> 1827 -> 16010 -> 5841 -> 9773 -> 599 -> 9776,27974 -> 13892 -> 1827 -> 16010 -> 5841,27974 -> 13892 -> 1827 -> 16010 -> 5841,us exports -> international trade -> automation -> mass transit -> corn -> farmers -> agriculture -> farms,us exports -> international trade -> automation -> mass transit -> corn,us exports -> international trade -> automation -> mass transit -> corn
news,2011,5545,19294,1000,1000,499500,2291,15,11,8,16204 -> 12683 -> 5365 -> 12695 -> 13511 -> 25680 -> 22851 -> 12643 -> 1827 -> 25682 -> 11191 -> 4836 -> 4837 -> 11565 -> 22813,16204 -> 12683 -> 5365 -> 12695 -> 13511 -> 25680 -> 22851 -> 12643 -> 1827 -> 25682 -> 11191,12695 -> 13511 -> 25680 -> 22851 -> 12643 -> 1827 -> 25682 -> 11191,median -> houses -> condominiums -> housing prices -> information systems -> students -> robots -> hospitals -> automation -> studies -> genetic algorithms -> college students -> colleges & universities -> graduations & commencements -> rites & ceremonies,median -> houses -> condominiums -> housing prices -> information systems -> students -> robots -> hospitals -> automation -> studies -> genetic algorithms,housing prices -> information systems -> students -> robots -> hospitals -> automation -> studies -> genetic algorithms
news,2012,5737,19946,1000,1000,499500,1996,7,7,7,11887 -> 5984 -> 22851 -> 12643 -> 1827 -> 16747 -> 6598,11887 -> 5984 -> 22851 -> 12643 -> 1827 -> 16747 -> 6598,11887 -> 5984 -> 22851 -> 12643 -> 1827 -> 16747 -> 6598,halloween -> costumes -> robots -> hospitals -> automation -> milk -> dairy industry,halloween -> costumes -> robots -> hospitals -> automation -> milk -> dairy industry,halloween -> costumes -> robots -> hospitals -> automation -> milk -> dairy industry
news,2013,5894,20530,1000,1000,499500,2422,9,9,5,22392 -> 17176 -> 22851 -> 19381 -> 7043 -> 1845 -> 1827 -> 12683 -> 17322,22392 -> 17176 -> 22851 -> 19381 -> 7043 -> 1845 -> 1827 -> 12683 -> 17322,7043 -> 1845 -> 1827 -> 12683 -> 17322,remakes & sequels -> motion picture directors & producers -> robots -> patient satisfaction -> dentists -> automobile racing -> automation -> houses -> multiple listing services,remakes & sequels -> motion picture directors & producers -> robots -> patient satisfaction -> dentists -> automobile racing -> automation -> houses -> multiple listing services,dentists -> automobile racing -> automation -> houses -> multiple listing services
news,2014,5916,20610,1000,1000,499500,1613,20,11,6,17142 -> 13997 -> 27443 -> 634 -> 8993 -> 1827 -> 28678 -> 12145 -> 8844 -> 3160 -> 17611 -> 25680 -> 22851 -> 12643 -> 18265 -> 18263 -> 13511 -> 16855 -> 22866 -> 25820,25820 -> 22866 -> 16855 -> 13511 -> 27443 -> 634 -> 8993 -> 1827 -> 28678 -> 12145 -> 8844,27443 -> 634 -> 8993 -> 1827 -> 28678 -> 12145,mortality -> intubation -> trends -> air pollution -> environmental protection -> automation -> water heaters -> heaters -> energy efficiency -> building automation -> national parks -> students -> robots -> hospitals -> nursing care -> nursing -> information systems -> missile defense -> rockets -> suicide bombings,suicide bombings -> rockets -> missile defense -> information systems -> trends -> air pollution -> environmental protection -> automation -> water heaters -> heaters -> energy efficiency,trends -> air pollution -> environmental protection -> automation -> water heaters -> heaters
news,2015,5944,20684,1000,1000,499500,1620,11,10,5,17322 -> 22044 -> 16204 -> 12683 -> 1827 -> 3733 -> 18542 -> 1472 -> 22851 -> 14034 -> 13276,17322 -> 22044 -> 16204 -> 12683 -> 1827 -> 3733 -> 18542 -> 1472 -> 22851 -> 14034,16204 -> 12683 -> 1827 -> 3733 -> 18542,multiple listing services -> real estate sales -> median -> houses -> automation -> casinos -> online gambling -> artificial intelligence -> robots -> investment advisors -> index funds,multiple listing services -> real estate sales -> median -> houses -> automation -> casinos -> online gambling -> artificial intelligence -> robots -> investment advisors,median -> houses -> automation -> casinos -> online gambling
news,2016,6346,22080,1000,1000,499500,2373,9,9,6,16086 -> 25680 -> 22851 -> 433 -> 2596 -> 1827 -> 16813 -> 16788 -> 24210,16086 -> 25680 -> 22851 -> 433 -> 2596 -> 1827 -> 16813 -> 16788 -> 24210,433 -> 2596 -> 1827 -> 16813 -> 16788 -> 24210,mathematics teachers -> students -> robots -> adults -> birds -> automation -> mining -> mines -> sinkholes,mathematics teachers -> students -> robots -> adults -> birds -> automation -> mining -> mines -> sinkholes,adults -> birds -> automation -> mining -> mines -> sinkholes
news,2017,7235,25314,1000,1000,499500,2024,9,9,4,11845 -> 22850 -> 1827 -> 24518 -> 6535 -> 1062 -> 17180 -> 22851 -> 2232,11845 -> 22850 -> 1827 -> 24518 -> 6535 -> 1062 -> 17180 -> 22851 -> 2232,1062 -> 17180 -> 22851 -> 2232,gynecology -> robotics -> automation -> social networks -> cybernetics -> anime -> motion pictures -> robots -> bees,gynecology -> robotics -> automation -> social networks -> cybernetics -> anime -> motion pictures -> robots -> bees,anime -> motion pictures -> robots -> bees
