source,year,n_seeds,n_nodes,core_share_mean,core_share_sd_across_seeds,share_nodes_unanimous,mean_jaccard_seed_vs_majority
news,1995,5,2496,0.3487980769230769,0.009208121924086153,0.46434294871794873,0.6039374976082661
news,2010,5,5617,0.313512551183906,0.021528354994098033,0.43457361580915077,0.5560457693843884
paper,2010,3,17459,0.32491360711762796,0.005395472351223675,0.5325047253565496,0.6065228405406594
paper,2020,3,18200,0.31025641025641026,0.009199136157959469,0.568076923076923,0.6173838248055287
