source,K,anchor,anchor_name,year,pp,rank,rank_norm
news,6,0,architecture - software,1990,1630.7098501388195,460.139552238806,0.20360157178708227
news,6,0,architecture - software,1991,946.7044733841622,266.994708994709,0.17359864043869247
news,6,0,architecture - software,1992,1255.2835639524528,350.01313868613136,0.15178366812061206
news,6,0,architecture - software,1993,1139.3838720837812,318.3238805970149,0.1353417859681186
news,6,0,architecture - software,1994,1111.177727780808,274.10555555555555,0.10812842428227043
news,6,0,architecture - software,1995,907.5510236269824,294.32054176072234,0.11791688371823812
news,6,0,architecture - software,1996,878.265179829133,292.89458239277656,0.11650540270197952
news,6,0,architecture - software,1997,875.9784327945455,282.9188940092166,0.10856442594367482
news,6,0,architecture - software,1998,949.5997646708724,286.4512048192771,0.06588114186275923
news,6,0,architecture - software,1999,812.9564495281164,219.45110220440884,0.04772751244115024
news,6,0,architecture - software,2000,733.1377171558479,182.36044176706827,0.039074446489622515
news,6,0,architecture - software,2001,687.0534841015168,168.9306,0.036716061725711804
news,6,0,architecture - software,2002,674.7258332655133,149.8998,0.03184614404079031
news,6,0,architecture - software,2003,698.5456932094786,144.91920000000002,0.03013499688084841
news,6,0,architecture - software,2004,685.802359433551,151.0246,0.029717552144824872
news,6,0,architecture - software,2005,657.0183478682991,136.56560000000002,0.026106977633339707
news,6,0,architecture - software,2006,653.1939019966879,124.5086,0.023684344683279436
news,6,0,architecture - software,2007,698.7519837822897,134.52,0.02246117882785106
news,6,0,architecture - software,2008,688.8708327502944,127.9174,0.020675189914336513
news,6,0,architecture - software,2009,705.5997518306353,133.4366,0.022224616922051965
news,6,0,architecture - software,2010,729.4075000170207,134.943,0.024024034181947658
news,6,0,architecture - software,2011,685.429033915638,127.8934,0.02306463480613165
news,6,0,architecture - software,2012,682.6965657906509,129.562,0.02258358026843298
news,6,0,architecture - software,2013,724.1210190903446,132.27679999999998,0.02244261961316593
news,6,0,architecture - software,2014,744.7405797855209,139.299,0.023546146044624745
news,6,0,architecture - software,2015,750.908728304689,142.3854,0.023954475100942126
news,6,0,architecture - software,2016,736.7751226466396,135.4058,0.021337188780334068
news,6,0,architecture - software,2017,760.9999768581279,132.1182,0.018260981340704904
news,6,0,architecture - software,2018,718.5463825233218,127.8544,0.01809943374858437
news,6,0,architecture - software,2019,723.2878600556817,123.78236472945892,0.016548444482547983
news,6,0,architecture - software,2020,736.9595281614751,137.2716,0.019201510700797314
news,6,0,architecture - software,2021,758.2262345414309,134.6834,0.019268011444921317
news,6,0,architecture - software,2022,742.4717203266791,137.42044088176354,0.01969620766543837
news,6,0,architecture - software,2023,769.6485951766672,136.77054108216433,0.0180913414129847
news,6,1,automation - software,1990,1421.904333661833,425.7665634674923,0.1883922847201293
news,6,1,automation - software,1991,954.66857016218,288.2136645962733,0.18739510051773295
news,6,1,automation - software,1992,1084.9345205977318,337.65365168539324,0.14642395996764668
news,6,1,automation - software,1993,937.1499205526346,286.64080459770116,0.12187109039017906
news,6,1,automation - software,1994,918.0329940228617,279.79928057553957,0.1103744696550452
news,6,1,automation - software,1995,755.9324109470301,262.0405339805825,0.10498418829350262
news,6,1,automation - software,1996,682.9664624660471,233.42406015037594,0.09284966593093712
news,6,1,automation - software,1997,659.4449676027284,233.45943396226417,0.0895853545519049
news,6,1,automation - software,1998,766.8835139681635,265.7249496981891,0.06111429385882915
news,6,1,automation - software,1999,676.1048598626726,222.9718875502008,0.048493233481992346
news,6,1,automation - software,2000,642.3608656529398,207.37303822937625,0.04443390577016847
