source,K,year,pp_mean,pp_sd,pp_lo,pp_hi,rank_mean,rank_sd,rank_lo,rank_hi,rank_norm_mean,rank_norm_sd,rank_norm_lo,rank_norm_hi,n_anchor
news,6,1990,1523.9302827262104,159.41404003964277,1409.892348275168,1637.9682171772529,454.38126411747544,73.19594137182652,402.02004196811544,506.74248626683544,0.2010536566891484,0.03238758467779935,0.17788497432217495,0.22422233905612185,10.0
news,6,1991,957.804850408636,17.38419993453724,930.1427089826453,985.4669918346266,282.5944046630548,19.72019095512918,251.21518024073475,313.9736290853748,0.1837414854766286,0.012821970712047588,0.16333886881712273,0.2041441021361345,4.0
news,6,1992,1205.371807978858,199.56932806683344,1071.2993090867367,1339.4443068709793,375.9079665472449,123.13681149340093,293.1835309716559,458.63240212283387,0.16301299503349734,0.05339844383928921,0.12713943233809882,0.19888655772889585,11.0
news,6,1993,1056.8061142618217,111.66206735954702,981.7905166879235,1131.82171183572,318.65382473305436,93.99200578662025,255.50913604885574,381.798513417253,0.13548206833888365,0.03996258749431132,0.10863483675546587,0.16232929992230144,11.0
news,6,1994,1010.7614391771634,82.5138207358387,951.7346076757558,1069.788270678571,269.7007441963339,44.321746513286605,237.9948767433731,301.4066116492947,0.10639082611295222,0.017483923673880325,0.09388358056937794,0.11889807165652651,10.0
news,6,1995,817.4610688645342,141.26440586495815,722.5583496827414,912.363788046327,268.96506607189593,93.19396468692011,206.35650869350388,331.573623450288,0.10775843993265061,0.0373373255957212,0.0826748832906666,0.1328419965746346,11.0
news,6,1996,757.2273028105769,84.46422086132631,700.4834671342767,813.9711384868772,237.4302864686174,50.307317416768946,203.633370760375,271.2272021768598,0.09444323248552798,0.02001086611645543,0.0809997497057975,0.10788671526525846,11.0
news,6,1997,772.0746046117501,98.11185808661004,701.8896093718798,842.2595998516205,258.1378525357555,54.538404666820824,219.1234281167225,297.1522769547885,0.09905520051256925,0.020928014070153805,0.08408420111923348,0.11402619990590501,10.0
news,6,1998,857.6590601144212,96.77740568663219,792.6431143155852,922.6750059132572,270.0916257741275,56.57309663083217,232.08530231333486,308.0979492349202,0.062118589184481945,0.01301129177342046,0.053377484432689706,0.07085969393627418,11.0
news,6,1999,761.8170461282072,90.04270695413511,701.3255325008774,822.3085597555369,226.46414140216302,57.31355202463164,187.96037323918847,264.9679095651376,0.04925274932626425,0.012464887347679783,0.04087872406245944,0.05762677459006906,11.0
news,6,2000,711.5690775873435,93.15157247286137,648.9889996858705,774.1491554888165,201.02401733584364,54.65026825072642,164.30946755770393,237.73856711398335,0.04307349846493329,0.011709935344059657,0.03520665685830383,0.05094034007156275,11.0
news,6,2001,683.0317029429688,98.67706679282985,616.7395474478672,749.3238584380704,194.790477609765,58.01892875537153,155.81283091111197,233.768124308418,0.04233655240377417,0.012610069279585205,0.033864992590982815,0.05080811221656553,11.0
