source,K,anchor,anchor_name,pp,rank,rank_norm
news,6,0,architecture - software,0.5227188462172206,0.11655091685610142,-2.104253489517478
news,6,1,automation - software,0.164123269155455,-1.0944713930518026,-3.315275799425392
news,6,2,data collection - software,-0.10508864065429492,-0.9855225169991217,-3.206326923372697
news,6,3,data processing - software,-0.0837141655319113,-1.1419976882849514,-3.362802094658538
news,6,4,interoperability - software,0.8985348018939675,0.5244837567907895,-1.6963206495827852
news,6,5,medical imaging - software,-0.46109000471824707,-2.0647680175620806,-4.285572423935658
news,6,7,project management - software,0.589674463835262,0.02493839617881422,-2.19586601019477
news,6,8,software - systems design,0.13274335292707837,-0.8060015859369771,-3.026805992310564
news,6,9,software - usability,0.5885754919289097,-0.29561501601914614,-2.5164194223927328
news,6,10,software - user interface,0.016941665286788764,-0.6844320006198029,-2.9052364069933843
news,6,11,software - visualization,-0.050756635804289296,-0.8305463477683671,-3.051350754141942
news,8,0,architecture - software,0.3951471023790124,-0.1388131170982677,-2.359617523471853
news,8,1,automation - software,0.10407998698610173,-0.9431202374658741,-3.163924643839454
news,8,2,data collection - software,-0.1318088764911528,-1.3183566761099184,-3.5391610824835116
news,8,3,data processing - software,-0.14232286151903362,-1.4929319896637747,-3.71373639603736
news,8,4,interoperability - software,0.6375756726812479,-0.052909923488092224,-2.2737143298616704
news,8,5,medical imaging - software,-0.4572581871367747,-2.1899483557406962,-4.410752762114271
news,8,7,project management - software,0.28795273748403116,-0.5962279387874012,-2.817032345160986
news,8,8,software - systems design,0.19398515547500034,-0.7431412752142353,-2.963945681587817
news,8,9,software - usability,0.36773319674735805,-0.7976280837973235,-3.018432490170902
news,8,10,software - user interface,0.14121936220015718,-0.4796037659311877,-2.7004081723047633
news,8,11,software - visualization,-0.192730461845067,-1.2255653065154335,-3.446369712889008
paper,6,0,architecture - software,0.2740739806749896,-0.08351306666055283,-0.3598420276913539
paper,6,1,automation - software,0.30045462479661533,-0.2820315002053346,-0.5583604612361346
paper,6,2,data collection - software,-1.3391678696908547,-0.8673513882759861,-1.1436803493067773
paper,6,3,data processing - software,-0.6866212168355545,-0.5768424800768082,-0.8531714411076002
paper,6,4,interoperability - software,0.2740143786957982,0.3491557581424424,0.07282679711163338
paper,6,5,medical imaging - software,-0.5750430747742379,-0.19478963783412512,-0.4711185988649254
paper,6,7,project management - software,0.5094493500005615,0.78682468143392,0.5104957204031215
paper,6,8,software - systems design,-0.4447933584358312,0.09169797839178975,-0.18463098263901406
paper,6,9,software - usability,-0.8898681145634149,-0.7091782942720993,-0.9855072553028927
paper,6,10,software - user interface,-0.3185217847879272,-0.2859794863613983,-0.5623084473921897
paper,6,11,software - visualization,-0.7112611912175342,-0.6250675631354768,-0.9013965241662767
paper,8,0,architecture - software,-0.052342134190060445,-0.19774214327322528,-0.47407110430402316
paper,8,1,automation - software,0.05949588324887699,-0.3515307885879969,-0.6278597496187983
paper,8,2,data collection - software,-1.147208020735589,-0.6752408210425258,-0.9515697820733136
paper,8,3,data processing - software,-0.5715699541189083,-0.4232029610027846,-0.699531922033582
paper,8,4,interoperability - software,0.06754195644412361,0.11552540198977561,-0.16080355904101531
paper,8,5,medical imaging - software,-0.38626830012025637,-0.035013768879403884,-0.31134272991020806
paper,8,7,project management - software,0.22076423042348792,0.4854430230623742,0.2091140620315616
paper,8,8,software - systems design,-0.4848658993842351,0.0017503936898669525,-0.2745785673409225
paper,8,9,software - usability,-0.9247229335078554,-0.7443747795823505,-1.0207037406131463
paper,8,10,software - user interface,-0.4916725679720286,-0.4779268243451244,-0.7542557853759185
paper,8,11,software - visualization,-0.5187726547707701,-0.284437444818989,-0.5607664058497844
