source,best_shift_years,pelt_years,rss_trend_only,rss_trend_plus_shift,improvement,null_95pct,bootstrap_p,regime_structure
news,"1998, 2017","[1998, 2017]",72.6,41.82,0.424,0.4235,0.048,True
paper,"2002, 2009","[2002, 2013]",35.06,25.28,0.279,0.3468,0.208,False
