window,source,break_year,distance,p_value,p_min,persists
3,news,1998,22.30424895398674,0.1,0.1,False
3,news,2017,4.073529364959591,0.1,0.1,False
3,paper,2002,4.965183424900668,0.1,0.1,False
3,paper,2013,2.928452488833103,0.1,0.1,False
4,news,1998,23.62875889162151,0.02857142857142857,0.02857142857142857,True
4,news,2017,6.320893011239973,0.02857142857142857,0.02857142857142857,True
4,paper,2002,5.270999525686719,0.02857142857142857,0.02857142857142857,True
4,paper,2013,4.569444519370151,0.02857142857142857,0.02857142857142857,True
5,news,1998,27.79713616290502,0.007936507936507936,0.007936507936507936,True
5,news,2017,9.71862648061231,0.007936507936507936,0.007936507936507936,True
5,paper,2002,7.9557903334406515,0.007936507936507936,0.007936507936507936,True
5,paper,2013,5.889220169919143,0.023809523809523808,0.007936507936507936,True
6,news,1998,35.396009436924004,0.0021645021645021645,0.0021645021645021645,True
6,news,2017,14.450215485770585,0.0021645021645021645,0.0021645021645021645,True
6,paper,2002,11.742649932454672,0.0021645021645021645,0.0021645021645021645,True
6,paper,2013,7.265531382840818,0.004329004329004329,0.0021645021645021645,True
