,mean_lag,entropy,effective_memory
1990,0.0,0.0,1.0
1991,0.3927108347415924,0.9477814435958862,1.928904134871405
1992,0.912344696931541,1.127577781677246,2.184915974317986
1993,1.2317934036254883,1.6792724132537842,3.2026639322553336
1994,1.6154154688119888,1.925133466720581,3.7977198025134626
1995,2.0514765409752727,2.152573347091675,4.4462015852853245
1996,2.3707405095919967,2.3321001529693604,5.035378810348406
1997,2.3161214776337147,2.3252309560775757,5.01146008900361
1998,2.2363420980982482,2.2475844621658325,4.74887072819625
1999,2.4605292789638042,2.494123935699463,5.633860872713711
2000,2.8125114776194096,2.6948604583740234,6.474911429979725
2001,3.2768599344417453,2.8669772148132324,7.29535010422421
2002,3.6324430238455534,3.032341241836548,8.181363160548422
2003,3.944754868745804,3.1088953018188477,8.627217342898453
2004,4.6043897869531065,3.333717942237854,10.082055822172997
2005,5.080522583797574,3.47113037109375,11.08956116315818
2006,5.7420444041490555,3.5764858722686768,11.929700114177821
2007,5.934883249923587,3.592609167098999,12.063772037949256
2008,6.135401495732367,3.652949571609497,12.57903697517007
2009,6.694837478920817,3.7874611616134644,13.808274664181932
2010,6.941479859407991,3.870917797088623,14.63060777499925
2011,7.540802977979183,4.011350154876709,16.126373705491055
2012,8.124489990063012,4.0745978355407715,16.84907908542355
2013,8.678316429140978,4.167188882827759,17.965894780168032
2014,9.010763805359602,4.223883628845215,18.685971153359144
2015,9.31733753439039,4.262658596038818,19.194999295591582
2016,9.878681683214381,4.308228015899658,19.810975535625154
2017,9.973994023632258,4.28938627243042,19.553924364965315
2018,10.647988532204181,4.435754299163818,21.64188562457749
2019,10.652780517470092,4.403872728347778,21.168875717328454
2020,11.291251913644373,4.507611274719238,22.747108675465515
2021,11.393387372838333,4.524207353591919,23.01029150095715
2022,11.709614494815469,4.616442680358887,24.529444888381814
2023,12.584184349514544,4.661464691162109,25.30700203532829
