,mean_lag,entropy,effective_memory
1990,0.0,0.0,1.0
1991,0.4819629043340683,0.9853621125221252,1.9798101774298835
1992,0.9284828305244446,1.5516855716705322,2.931594518058
1993,1.4254702627658844,1.9574947357177734,3.8838695254051037
1994,1.928427241742611,2.284432053565979,4.871722823741853
1995,2.363685391843319,2.536795496940613,5.802986195569346
1996,2.8526317104697227,2.757871627807617,6.763976408060655
1997,3.3675646632909775,2.956118583679199,7.76033312441788
1998,3.9819268323481083,3.1174145936965942,8.678312837835222
1999,4.415871806442738,3.275390863418579,9.682575618718861
2000,4.7759661339223385,3.3819074630737305,10.424508527695789
2001,5.093135887756944,3.4706995487213135,11.086250056535832
2002,5.72441279143095,3.6472575664520264,12.52950545133875
2003,6.056980982422829,3.724791169166565,13.221291163638675
2004,6.332540910691023,3.791870594024658,13.850542635112468
2005,6.884451282210648,3.91277813911438,15.061339088001217
2006,7.204902500845492,3.9734582901000977,15.708334177946586
2007,7.727451844140887,4.073060512542725,16.83113441921449
2008,8.237576451152563,4.163421154022217,17.919036411012335
2009,8.406938880681992,4.212033271789551,18.53311230940172
2010,8.923023145645857,4.28953218460083,19.555902121698526
2011,9.569541321136057,4.357276678085327,20.496088116388172
2012,9.615980425849557,4.40483283996582,21.182968027629272
2013,10.289027309045196,4.478353500366211,22.29044479986831
2014,10.868216266855597,4.5268754959106445,23.052886439332305
2015,11.361805939115584,4.608773231506348,24.39939096004034
2016,11.25865275412798,4.624505996704102,24.666925385884838
2017,12.042341941967607,4.689047336578369,25.795496975508517
2018,11.985618952196091,4.72464394569397,26.439884064211462
2019,13.239816470071673,4.839738845825195,28.635618230148776
2020,13.662961466237903,4.855187177658081,28.943895068721613
2021,14.657013257034123,4.935051202774048,30.591335862974354
2022,14.611333636566997,4.940748691558838,30.712385981959706
2023,15.321351781487465,4.997060775756836,31.93487228545182
