year,0
1990,
1991,3.528264571020497
1992,4.371759146583488
1993,3.2084053813482853
1994,2.7484111086001
1995,3.0518246094154247
1996,3.3888638059691214
1997,3.1943219530261686
1998,1.1746707618830508
1999,-0.11949573802610003
2000,0.18848879448734965
2001,0.094941641637127
2002,0.1711063090325866
2003,0.19974229998530474
2004,-0.20195681266736354
2005,-0.15666648850377515
2006,-0.10728395853997677
2007,-0.5624238829374006
2008,-1.0255776349924877
2009,-0.9714719346101799
2010,-0.1463949172493714
2011,-0.11198660645008106
2012,-0.3430200115067807
2013,-0.7680249456565831
2014,-0.7196312520593797
2015,-1.0703020142090731
2016,-1.2358957208510135
2017,-1.5808187967908671
2018,-2.371585761004212
2019,-2.297174596268493
2020,-2.8315911499856425
2021,-2.8003102375806708
2022,-2.6721226393795483
2023,-3.2270652837195035
