year,0
1990,
1991,4.195862261860947
1992,3.7199750015359694
1993,3.1922726451529924
1994,2.9140835413024297
1995,2.780674865081671
1996,2.358231171857349
1997,2.345354292878998
1998,2.137986088238301
1999,1.6813169018069511
2000,2.1083689708021214
2001,1.3709061328099448
2002,0.7756721935580668
2003,1.1041312485703116
2004,0.44472200886567925
2005,-0.19863050915738278
2006,-0.002670206552325288
2007,-0.414622755754976
2008,-0.9444948719960503
2009,-0.40078371861405465
2010,-0.8036409077078828
2011,-0.8997542803413853
2012,-0.7751780888004071
2013,-1.5688757504755155
2014,-1.711377084040785
2015,-1.9720618994156938
2016,-2.004822888099458
2017,-2.3966427498814378
2018,-2.1686148568140635
2019,-2.549699171547078
2020,-2.5343715045606507
2021,-2.8435456168666997
2022,-3.0827294456699983
2023,-3.8570410180258894
