epoch,loss
1,1.0276256479447015
2,0.8328649348861802
3,0.8132630301251659
4,0.8064314721879084
5,0.8007688052754696
6,0.7921573445626826
7,0.793400105946394
8,0.7911582512719575
9,0.7895114234739609
10,0.78273104130947
11,0.7818326949065724
12,0.7829936236972938
13,0.7790775744023887
14,0.7776802174320628
15,0.7759508152165302
16,0.7779305954656985
17,0.776967193155783
18,0.7744976888610565
19,0.772280525989733
20,0.7716863784224044
21,0.7724665912187302
22,0.7750178761924521
23,0.7710412683810225
24,0.7716733564030045
25,0.7690098420502668
26,0.7690127827936193
27,0.7697630788248767
28,0.7701287678399765
29,0.7669015063607293
30,0.7698709353828199
31,0.7736397213278906
32,0.7733706128241393
33,0.7665530130268059
34,0.768002339453336
