epoch,loss
1,1.0937045130353633
2,0.9338657096723513
3,0.9246631858314992
4,0.9165061927470429
5,0.9101593712038734
6,0.9113066868656302
7,0.9069245185619921
8,0.9075766228759021
9,0.9071891196601046
10,0.9048390001602634
11,0.9034544604303391
12,0.898221375734279
13,0.8971583625607751
14,0.8991733883747465
15,0.8952071874668825
16,0.8965265465556486
17,0.8927789034272788
18,0.8964923506576196
19,0.8926212715087023
20,0.8894853514541718
21,0.8909625291340729
22,0.8962747368802888
23,0.8904560178095139
24,0.8912877407809056
25,0.8898879703111627
