,C_t,C_t,C_t,R_t,R_t,R_t,S_t,S_t,S_t,H_t,H_t,H_t
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
year,,,,,,,,,,,,
1990,,,0,0.2809417930596363,0.007265490576940754,10,1155.5,80.90907104755176,10,0.08941663999327257,0.004510011573827155,10
1991,0.5839123761941927,0.007449036515753295,10,0.2856127044323299,0.005211312600513331,10,1180.5,67.92356815650312,10,0.08322925004291545,0.0030975443021517813,10
1992,0.5753641519278512,0.006400468471968478,10,0.28647004466348375,0.0034275987749304393,10,1210.3,73.28035965462445,10,0.0834558299110102,0.002212325138535995,10
1993,0.5679881903655624,0.006837239081462428,10,0.2916889670464103,0.003784843187272186,10,1291.6,47.877621773294734,10,0.08099823894852667,0.00221811923046605,10
1994,0.5605608004765389,0.005462863365060638,10,0.28911183463314905,0.0039142726008090725,10,1255.6,64.67560075742114,10,0.08372722859644008,0.00263680139505662,10
1995,0.5663044185486741,0.005676928712540094,10,0.28335169273701993,0.006140641609874325,10,1256.5,56.032232787129864,10,0.0851171945418652,0.003509259461806237,10
1996,0.5699859438605002,0.007646347786172323,10,0.2875635254827937,0.005594007437120969,10,1248.7,103.88353521559077,10,0.08277538680541216,0.003882607215138157,10
1997,0.5627957199447484,0.008454291628803949,10,0.2910436025732666,0.0027788430122726716,10,1328.6,34.683329328848096,10,0.08117071954808147,0.001978122205596977,10
1998,0.5547008921341275,0.008112591192644847,10,0.28952002272081795,0.0061941292269551765,10,1284.1,67.1622413761384,10,0.0819836053263808,0.003813172340331562,10
1999,0.5649112508543321,0.009684968056775857,10,0.2973867957137919,0.004975936765629992,10,1415.4,61.36267414135227,10,0.07647158467702417,0.0026232880880436888,10
2000,0.5512243456362503,0.005111206616007777,10,0.28811333333333333,0.005588440450310508,10,1413.3,58.361041038616776,10,0.07965933524698723,0.0033079627010261883,10
2001,0.5459988574203241,0.00924842579308802,10,0.293705743509048,0.0032965946980220684,10,1461.5,43.42362388275661,10,0.07564014686450111,0.001587238767786599,10
2002,0.5810373073858427,0.003790476452968739,10,0.33032294760791253,0.0019642747445109115,10,1580.4,60.04294759216565,10,0.053715581736501004,0.0006376352753087717,10
2003,0.5124903765454552,0.0035115327979680666,10,0.31688869521912355,0.0029882279277459387,10,1576.8,60.26017664170003,10,0.062033933086890314,0.0011284710776883213,10
2004,0.5185080648221329,0.003955640267686758,10,0.31209637663298,0.004247099859352974,10,1564.1,53.09833644600675,10,0.06508987652093186,0.001850854709764846,10
2005,0.5154415251759714,0.004722301637791618,10,0.31564758030238627,0.0042219010817860555,10,1562.4,73.33515149261264,10,0.06257652139223258,0.001761474341583596,10
2006,0.5098839804587356,0.005027250407428769,10,0.31625245843018057,0.0030407729019007,10,1644.6,34.59672431507538,10,0.05962368557054176,0.0010793961061213576,10
2007,0.5036898781851886,0.004218181782630525,10,0.31587431854153236,0.0024575809136927595,10,1614.2,67.80003277613103,10,0.060487580513076386,0.0009421311936661037,10
2008,0.4989078906266909,0.005830897698526626,10,0.3182831272853909,0.0034747583137357515,10,1628.1,40.02901725276574,10,0.059387015761524886,0.0011581545186256689,10
2009,0.49956708894996,0.005408578031986151,10,0.32082878953107963,0.0020553643432261186,10,1617.9,41.15944606041242,10,0.05778097688803646,0.0007280258409680105,10
2010,0.484335852800163,0.003178973271617487,10,0.32067742304611513,0.00418627369930393,10,1614.3,64.0729618828757,10,0.05842884022341525,0.0015545901703954569,10
2011,0.4850033071658137,0.006527385994523945,10,0.31583011583011583,0.002775064859753302,10,1634.0,48.251655124173936,10,0.05900678827947283,0.0010378780844194527,10
2012,0.49197709030801173,0.0038123088683740874,10,0.3217200427759329,0.0027705919126432537,10,1663.8,68.65177832122535,10,0.058220469214061044,0.0009332115059409119,10
2013,0.4853803258797508,0.004397483078733838,10,0.3232639083815191,0.0018754141625651072,10,1658.5,27.484338974930587,10,0.0577022853127501,0.0006571093169295335,10
2014,0.47604584763953195,0.0034323094465257796,10,0.31617514633048177,0.0022944106890428477,10,1637.1,74.22705406760775,10,0.060049155770907546,0.0009171308659456674,10
2015,0.4870649232209092,0.003381436153908567,10,0.32495358127496765,0.0026613924421529877,10,1659.8,43.284074566878594,10,0.05919552850658345,0.0009730225128805727,10
2016,0.4802029660625717,0.004115183847069162,10,0.32304015296367117,0.002586077256409369,10,1672.5,46.99940897973554,10,0.05923896139670881,0.0009947222853013608,10
2017,0.48180045168074964,0.004757215722679463,10,0.3241631504922644,0.0025033581391040293,10,1686.3,54.59761899570347,10,0.05705392077687195,0.0008666816545754806,10
2018,0.48345193072746867,0.006169630645857351,10,0.32139433794025857,0.0028908047451016708,10,1690.0,49.2634640366356,10,0.05642932920569539,0.0009304747139290057,10
2019,0.4910406675278033,0.005099333964353285,10,0.3266924993080543,0.003526777799105647,10,1718.0,74.81532819772517,10,0.05322258574768844,0.001176666073044956,10
2020,0.4775999798834851,0.007523005313325437,10,0.322278258962833,0.0027557493727308896,10,1733.3,67.28554409711226,10,0.05365946525593188,0.0009674071207658379,10
2021,0.48476652565436507,0.006391670299057017,10,0.3255933325974169,0.0021995238097264223,10,1760.3,45.095084728456456,10,0.051829963792815,0.0007280631048767314,10
2022,0.4824296674133315,0.0038856174950882994,10,0.32740187949143174,0.002705863266936061,10,1796.3,42.04772420846474,10,0.05168808682231109,0.0009180495996329403,10
2023,0.4826824222090044,0.0047029811069306615,10,0.32553004020045156,0.003500156044360418,10,1817.6,62.801627721297514,10,0.05057556043411772,0.0011173257489895498,10
